Name,Package Name,Description,Rating,Rating Count
Pixel Crime Airport Attack Shoot-er Survival inc.,com.red.airattack,"The airport is under siege! 
Secret Ops stealth enemy lines airport takeover infiltration mission defense. Secret mission spy agent 2017-77 is on a mission to assassinate all enemy soldiers at air port base camp. In this terrorist shooting game You are the pixel sniper assassin sniper elite, USA army sniper shooter best in terrorist sniper spy history. Only you can deliver the kill shot necessary. Cool guns to unlock in this fps shooter game. Shoot em up and stay alive! Don't let the terrorist win the war. Be the best terrorist shooter you can be.",4.5,10
Airport Commandos (17+) - Elite Counter Terrorism Sniper 2,com.scottearle.acfree,"** HEADSHOTS, SNIPER KILLS, AND MORE! ** 
** AWESOME SNIPER SHOOTER ACTION! **

You're a member of an elite strike force on a mission to rescue a group of hostages that have taken over an airport.  One by one you take the bad guys out, while trying to save the hostages. Will you come out victorious?

FEATURES 

- Machine gun & sniper views.
- Multiple environments.
- Headshots, zoomed in sniper shots, and more!
- Awesome soundtrack.",3.0,39
Drone Maps Japan,com.ismrk.DroneMaps,"• Prohibited Airspace for Flight
  Blue areas: Airspace around airports
  Red areas: Densely Inhabited Districts (DID)
  Yellow areas (black frame line): Important facilities
• Sunrise, sunset times
• Location, address search
• about 'Civil Aeronautics Act' in Japan

* Please be sure to check before flight: 
Even if it is outside the prohibited area by civil aeronautics act, flying may be prohibited by the local government ordinance or land owner's rule.

Japan’s safety rules on Unmanned Aircraft (UA)/Drone
[Definition]
The term “UA/Drone” means any airplane, rotorcraft, glider or airship which cannot accommodate any person on board and can be remotely or automatically piloted (Excluding those lighter than 200g. The weight of a UA/Drone includes that of its battery.).

[Prohibited Airspace for Flight]
Any person who intends to operate a UA/Drone in the following airspaces is required to obtain permission from the Minister of Land, Infrastructure, Transport and Tourism.
 
(A) Airspace above 150m above ground level.
(B) Airspace around airports. (airspaces above approach surface, horizontal surface, transitional surface, extended approach surface, conical surface and outer horizontal surface.)
(C) Above Densely Inhabited Districts (DID), which are defined and published by the Ministry of Internal Affairs and Communications.
*In this application, you can check the areas (B) and (C).

[Operational Limitations]
Any person who intends to operate a UA/Drone is required to follow the operational conditions listed below, unless approved by the Minister of Land, Infrastructure, Transport and Tourism.
 
(i) Operation of UAs/Drone in the daytime.
(ii) Operation of UAs/Drone within Visual Line of Sight (VLOS).
(iii) Maintenance of 30m operating distance between UAs/Drone and persons or properties on the ground/ water surface.
(iv) Do not operate UAs/Drone over event sites where many people gather.
(v) Do not transport hazardous materials such as explosives by UA/Drone.
(vi) Do not drop any objects from UAs/Drone.

[Exception]
Requirements stated in “Airspace in which Flights are Prohibited” and “Operational Limitations” are not applied to flights for search and rescue operations by public organizations in case of accidents and disasters.
 
[Penalty]
If the above rules are violated, the UAV operator is liable for a fine of up to 500,000 yen.

[Permission & Approval]
You are required to submit an application in Japanese for the permission or approval to the Ministry of Land Infrastructure, Transport and Tourism at least 10 days (excluding Saturdays, Sundays, and holidays) before you fly a UA/Drone. For further information, please contact UA/Drone Counseling Service (http://www.mlit.go.jp/common/001112966.pdf).

See link for details
https://www.mlit.go.jp/en/koku/uas.html

Law prohibiting the flying of small UAV
See link for details ""Untranslated""
https://www.npa.go.jp/bureau/security/kogatamujinki/index.html",4.0,5
"S3 Deadly fighter Jet Battle : Extreme Military War planes ( f-16,f-18,f-22 ) 3D dogfight Attack",com.teamil.flight3d15,"## Top 10 in 48 countries around the world ##
""S3 Deadly fighter is an intense 3d aerial game"" - Adrian Norwell
The ultimate jet fighter war game, Both a sim and an arcade game all packed in one extreme jet fighter game


The all new 3D fighter jet simulator arcade game is here. Get your hands and arms on the ultimate S3 deadly fighter jet battle game and join the other pilots in an epic military war airplane game.

Fly the newest fighters the army has to offer.
Unique and exact jet fighter modules you can fly. Become the killer pilot that dominates the dogfights.

The alarm is sent to all units in the united nation. Scramble to your jet fighters! the enemy is flying in, trying to cross over and bomb your cities, You must stop them and strike back.

This game features some of the top jet fighters the army can offer its pilots today.

* Exact F-16,F-18,F-22 enemy and friendly aircrafts
* Full power and intense air battles
* Fast moving 3d arcade action game

If you love flying airplanes, if you always wanted to join the military and become a jet fighter pilot this deadly fighter jet game has just the right battle for you!

Donwload ""S3 Deadly fighter Jet Battle : Extreme Military War planes ( f-16,f-18,f-22 ) 3D dogfight Attack"" today for FREE and play this game it fits both kids and adults!",4.0,41
Sniper Warrior Russian Machine,com.gamedurrai.sniperwarriorrussianmachine,"Now its time to play a sniper game this is an ultimate sniper  critical mission where enemy is not aware of your presence.in this sniper game we have different levels in different locations and army bases like army camp army airport army ships.  Try to eliminate them all with ready aim fire method. Try to shoot enemy using only one shot as it will do the maximum damage. Who's the super hero? It's a great time to let the world know that you are a super action hero in the last battle of fighting mafia and monsters in extreme crime. This is a secret mission of gun shooting where you have to shot fire from a distance. You have taken special military training and you were a part of swat team. Training of army is always tough as you learn modern counter attack, army combat. You are the best sniper hero ever produced as your shooting accuracy is just amazing. You have one bullet shot which can eliminate monsters and villains from a distance without making any noise. You are a bravo special agent, a modern sniper shooter and you have taken part in army shooting competition to show others that you are a bullet force of gun war and mobile battle strike. You can call for air strike for assistance.",,
Airplane SWAT Team Force Elite Sniper Mission 3D Hostage,com.ozitech.elite.force.sniper.vision,"Mayday! The terrorist group hijacked passenger aircraft on the city runway.

Play as sniper for the SWAT team and rescue hostage in this crisis situation.
The situation is getting serious the terrorist making huge demands for hostage lives.
Clear your way get on plane from stair car and get cover behind seats.
Eliminate hostile threat and kill all the terrorist with your best shooter skills.
Some terrorist got hostage on the airport runway and inside bus.
Lead your team and strike them with your modern weapons.
HD graphics and thrilling game play to enhance your gaming experience.

Download and show your amazing shooting skills in this FPS game.


Give us feedback with comments so we can make more action packed games to entertain you.",3.5,38
Airport Ops - Sniper Shooting Training Game,com.stephengreen.airportops,"Terrorists are attacking the famous and highly busy airport.and they captured the entire airport.
As a member of an elite special forces unit,your mission is to fight and kill them. 
Show your shoot skill to kill enemies as more as possible by your sniper gun! 
 
Have a good time.",,
Flying Little Heroes - Free Super Funny Kids Story Shooting Game,com.secretgiantproductions.FlyingLittleHeroes,"Blast OFFFFFFF!  Get ready to race through the skies and see how far you can GO!

This fun game has a wild story that will guide you through strange worlds and let you meet funny characters as you beat the missions.

You can choose from numerous whacky characters or even a car!  Or create your own character with the built in art tools.

Have fun optimizing your character's abilities to get achievements and raise your position on the Leaderboards.

So much crazy fun in one game!!!!",,
Star Fighter Aircraft Warfare Bullet Hell Shooter,com.nlpgame.aircraftshooter,"Star Fighter Aircraft Warfare Bullet Hell Shooter
Awesome airplane war!
The free air combat shooter challenges you to wipe out your enemy in missions. Fight your way to a glorious and victorious win while demonstrating your air superiority and sky battling prowess.",,
Secret Agent Rescue Airplane,com.gu.rescue.mission.airplane.rescue,"The President aircraft got hijacked, co-pilot make distress call before taken hostage. Hijackers are inside pilot cockpit, the president and oval office member’s life at stake. The authorities gave secret service agency rescue mission of the decade. Play Secret Agent Fps Game step into shoes of secret agent and gear up to take most challenging rescue operation in airplane.


Wear wing suite and jump from 20,000ft height fly wing suite towards president aircraft in this game. Get inside aircraft from cargo compartment secret door open by the aircraft pilot. Gather intel from airplane staff crew members take hostage into cargo section. Use silencer pistol shooting. Rescue mission is all about escaping hostage and taking down terrorist groups playing this game. Help oval office staff to escape the terrorist leader and shoot down all extremist on air force one aircraft. 
Features:


10 challenging combat missions 
Amazing 3D Plane Environment
Challenging fighting missions
Fight hard with airplane hijackers
Smooth controls & best fps shooting experience


Download this game and give us your feedback, so we can make more new airplane simulator games and secret agents game to entertain you.",,
