  Discord is more of a chat app or voice app?,"[0.5, 0.5]","[0.0, 0.748, 0.252]",2
 probably. I'm using the discord app but yhea I'll use the website,"[0.0, 0.0]","[0.0, 0.856, 0.144]",2
 Discord mobile app just absolutekmly fucking retarded im trying to operate a spaceship,"[-0.6, 0.8]","[0.0, 0.599, 0.401]",1
  Discord mobile app just absolutekmly fucking retarded im trying to operate a spaceship,"[-0.6, 0.8]","[0.0, 0.599, 0.401]",1
 ASEAN discord blocks issuance of joint statement on sea feud via the  App ,"[0.0, 0.0]","[0.0, 0.588, 0.412]",1
 PSA to Discord mobile app users: it will *shred* your data limits if you're not on Wifi. Use sparingly.,"[0.0, 0.0]","[0.0, 0.87, 0.13]",1
 Come talk with me discord app made from  let's talk and get fun yeah!  via ,"[0.375, 0.2]","[0.283, 0.586, 0.132]",1
 I'll never understand Discord (the app).,"[0.0, 0.0]","[0.311, 0.689, 0.0]",1
  Have you told  that Discord is the official communication app of ,"[0.0, 0.0]","[0.0, 0.787, 0.213]",2
 Quick Q: How many of you guys use the 'Discord' app? ,"[0.41666666666666663, 0.5]","[0.0, 1.0, 0.0]",1
 We made a discord download the app and join our room so you can chill with us ,"[0.0, 0.0]","[0.116, 0.741, 0.143]",1
discord is the best app for voice and text chat!,"[1.0, 0.3]","[0.296, 0.527, 0.178]",3
 hopefully the discord app will work after this update is finished,"[0.0, 0.0]","[0.188, 0.625, 0.188]",2
 coworker: What's Discord?me: It's an app for managing conversations with all of the people who are trying to play Overwatch with you,"[0.0, 0.0]","[0.103, 0.897, 0.0]",1
  coworker: What's Discord?me: It's an app for managing conversations with all of the people who are trying to play Overwat,"[0.0, 0.0]","[0.112, 0.888, 0.0]",1
yeah I'm getting thrown off because I use the discord appSo I take it this person uses the browser version?,"[0.0, 0.0]","[0.105, 0.766, 0.129]",1
" ""Discord is a really cool app and a great way to get in touch with me. I would love to invest in Discord","[0.5499999999999999, 0.6666666666666666]","[0.348, 0.479, 0.173]",3
" ""  Discord is a really cool app and a great way to get in touch with me. I would love to invest in Discord","[0.5499999999999999, 0.6666666666666666]","[0.348, 0.479, 0.173]",3
  Is something wrong with Discord atm? Keep getting this when trying to use website or redownload app page ,"[-0.5, 0.9]","[0.0, 0.734, 0.266]",1
i don't have discord mobile app,"[0.0, 0.0]","[0.361, 0.639, 0.0]",2
 Check out  way to communicate in game and our  teams will unofficially be using the app.,"[-0.4, 0.4]","[0.0, 1.0, 0.0]",1
  Give this version of the app a shot ,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
  Check out  way to communicate in game and our  teams will unofficially be using the app.http,"[-0.4, 0.4]","[0.0, 1.0, 0.0]",1
 Discord is nice App because it can display during play Unity. It makes me looks as if I do much work.,"[0.4, 0.6]","[0.209, 0.683, 0.108]",3
 The Discord App has come to Spazbot Studios! Come chat with us!  ,"[0.0, 0.0]","[0.0, 0.77, 0.23]",3
  The Discord App has come to Spazbot Studios! Come chat with us!  ,"[0.0, 0.0]","[0.0, 0.77, 0.23]",3
" "" yeah","[0.0, 0.0]","[1.0, 0.0, 0.0]",3
  hey teezal remember when you stream to check out the app discord that allows you to talk with your viewers instead of skype,"[0.0, 0.0]","[0.0, 0.891, 0.109]",2
  is discord an app I can download on IOS? Wanna post dank memes in the community ; become a meme lord.,"[0.0, 0.0]","[0.0, 0.863, 0.137]",1
 Me personally I don't care for the Discord app Skype or hang out the better I'd rather be seen and then not just heard that's just me though,"[0.25, 0.4]","[0.09, 0.745, 0.165]",1
" "" Do you have the Discord app installed? Apex recommends it","[0.0, 0.0]","[0.151, 0.635, 0.214]",2
" "" What is the best way to use Discord in our own hybrid app? We have rolled our own chat","[0.7333333333333334, 0.7666666666666666]","[0.176, 0.711, 0.113]",3
  my only complaint about slack is its a lot more difficult to manage multiple teams on the mobile app than discord.,"[-0.06, 0.54]","[0.0, 0.688, 0.312]",1
