Dynamic VoiCopters,"Use your voice to soar into the air.

A fun and addictive game where your voice controls cute VoiCopter.

Dodge evil missiles while saving adorable stars in your journey.

---- How to Play ----

** Scream to fly VoiCopter upward **
** Tilt to steer Left and Right **
** Collect stars and fill Dynamic Gauge to Become truly Super Dynamic VoiCopter**
** Revenge evil missiles with super dynamic mode **

Please don't play this game in public and always keep your voice healthy.

Please don't fall down!","[['voice'], ['game'], ['super', 'dynamic'], ['saving', 'adorable']]","[['always', 'game', 'controls', 'keep', 'voice', 'soar', 'air'], [""n't"", 'fun', 'play', 'addictive'], ['missiles', 'mode'], ['missiles', 'stars']]"
Gear.Club - True Racing,"Gear.Club is much more than a quick adrenaline rush; it is an authentic world of cars. Realistic driving experience, with fully simulated engines, powertrains, suspensions and aerodynamics. 

*** #1 Free App in 88 countries - #1 Free Game in 96 countries - #1 Racing in 145 countries ***

You will get to explore breathtaking settings and compete live with your online friends and foes through unlimited races, championships and events.  

Gear.Club offers a full range of options for the cars. Players can collect, upgrade and customize some of the most gorgeous exotic vehicles in their performance shop and enjoy details including engine and interiors in full HD.

FEATURES:

●	DRIVE with fully simulated engines, powertrains, suspensions and aerodynamics. Multiple control schemes are supported!
●	EXPLORE breathtaking settings and exotic locations.
●	RACE against your Friends through Events and Championships. 
●	CREATE and develop the ultimate Performance Shop to collect, upgrade and customize the most gorgeous exotic cars. 
●	ENGINEER specific parts to boost your machines beyond their maximum capacity. 
●	ADMIRE car details such as engines and interiors shown in Full HD!
●	COLLECT all your favorite cars.

COMPATIBILITY: Gear.Club currently supports iPad 4, iPad Air and higher, iPad Pro, iPad Mini 2 and higher, iPhone 5 and higher, iPhone SE and iPod 6 running on iOS 8 and higher due to memory constraints.

PLEASE NOTE! Gear.Club is completely free to download and play but some game items may be purchased for real money. To disable this, turn off the in-app purchases in your device’s settings.

The file-size of Gear.Club is quite significant so make sure your Internet connection is stable when installing the game.

http://www.facebook.com/gearclubthegame
Watch Gear.Club on https://www.youtube.com/c/EdenGamesOfficial","[['powertrains', 'engines', 'simulated'], ['fully', 'engines', 'simulated'], ['suspensions', 'powertrains'], ['engine', 'including'], ['shop', 'enjoy'], [], [], [], ['play', 'game'], ['iPhone', 'higher'], ['world', 'authentic'], ['range', 'options'], ['races'], ['live', 'compete'], ['friends', 'online']]","[[], [], ['aerodynamics', 'engines'], ['interiors', 'details', 'details', 'engines', 'interiors'], ['performance', 'details', 'vehicles', 'performance', 'shop'], ['real', 'money', 'parts', 'purchased', 'boost', 'machines'], ['purchases', 'in-app', 'due', 'turn', 'memory', 'constraints'], ['iPad', 'driving', 'currently', 'experience', 'Realistic', 'supports'], ['download', 'items'], ['2', '5'], ['cars', 'rush'], ['cars', 'full', 'options', 'cars', 'Players'], ['foes', 'championships', 'unlimited', 'events'], ['settings', 'online'], ['foes', 'live']]"
Transformers Rescue Bots,"GRIFFIN ROCK RESCUE bands together with a few new teammates to track down a mysterious Mini-Con whose arrival in Griffin Rock sparks a thrilling race throughout the town. This interactive storybook app puts you side-by-side with CODY and the RESCUE BOTS team—even BUMBLEBEE is here to help—as they track down this devious visitor. This adventure sparks team spirit, burns a lot of rubber, and raises important questions for, BLURR, our newest RESCUE BOT recruit: What’s more important? The rescue mission or a ‘need for speed?’
	
•	Take control by picking the Bot YOU want leading each mission!
•	Hunt for clues across Griffin Rock! 
•	Race your fellow Bots to hunt down the rogue Cybertronian!

Feel like a member of the team as CODY guides you and GRIFFIN ROCK RESCUE around town, broadcasting updates as you power through seven different activities, racing from one side of the island to the other, dodging laughing gas, matching suspects, and gobbling up Energon cubes!  Designed for young RESCUE BOTS fans and emerging readers, this app features:

•	Interactive, animated scenes that put you in the middle of the scene!
•	Race, catch, match, and dodge through seven unique missions that propel you through the story!
•	YOU pick the best Bot for each mission! Bots include: HEATWAVE, CHASE, BUMBLEBEE, BLURR, SIDESWIPE, and QUICKSHADOW. 
•	Sticker pack of over 20 your favorite Transformers Rescue Bots to use with iMessage.


Designed to deliver these Learning Goals:

Numeracy:
•	Matching & sorting
Early Literacy:
•	New vocabulary
•	Expanding early reading skills 
•	Increasing reading comprehension

Social-Emotional
•	Teamwork
•	Problem-solving with a group

ABOUT PLAYDATE DIGITAL
PlayDate Digital Inc. is a publisher of high-quality, interactive, mobile educational software for children. PlayDate Digital's products nurture children's emerging literacy and creativity skills by turning digital screens into engaging experiences. PlayDate Digital content is built in partnership with some of the world's most trusted global brands for kids.

Visit us: playdatedigital.com
Like us: facebook.com/playdatedigital
Follow us: @playdatedigital
Watch all our app trailers: youtube.com/PlayDateDigital1

HAVE QUESTIONS? 
We'd love to hear from you! Your questions suggestions and comments are always welcome. Contact us 24/7 at info@playdatedigital.com","[['put', 'middle'], ['suggestions', 'questions'], ['track'], ['children'], ['com'], ['seven'], ['app'], ['creativity', 'literacy'], ['turning', 'digital'], [], [], [], [], ['partnership', 'built'], ['spirit', 'team']]","[['scene', 'scenes'], ['Your', 'comments', 'hear', 'Your', 'questions'], ['mysterious', 'visitor', 'devious', 'teammates'], ['educational', 'products', 'nurture', 'software'], ['trailers', 'youtube', 'facebook', 'playdatedigital'], ['activities', 'different', 'unique', 'missions', 'missions', 'propel', 'story'], ['side-by-side', 'features', 'puts', 'readers'], ['skills', 'emerging', 'fans', 'emerging', 'readers'], ['screens', 'skills', 'screens', 'engaging', 'experiences'], ['cubes', 'This', 'young', 'storybook', 'Designed', 'interactive'], ['Transformers', 'favorite', 'mission', 'need', '20', 'speed'], ['kids', 'global', 'gas', 'laughing', 'brands', 'matching'], ['dodge', 'power', 'broadcasting', 'updates', 'catch', 'match'], ['content', 'world'], ['sparks', 'burns', 'adventure', 'sparks', 'team']]"
Asphalt Street Storm Racing,"5/5 “I just won my first car in a pink-slip race! WOW, it was such a rush. I love this game!”
5/5 “Excellent drag racing game! It looks great and the short races are fun and addictive! I recommend it to everyone.”
5/5 “I am loving the launch mechanic. Races are won by skill, unlike other games. Incredible graphics and gameplay to match!”

Drag race across the world’s top cities behind the wheel of your favorite race machine!
Drive your best turbo-charged Supercar across the world’s most glamorous and popular cities in high-speed drag races. Raise the stakes, show your muscle, and then smash your way through rain, snowstorms or scorching heat, betting pink slips to win your rivals’ cars on amazing 3D streets.
Looking for real quick multiplayer fun? How about live 1 vs. 3 PvP free-for-all races? The harder the race, the greater the triumph!

• THE CAR COLLECTION OF YOUR DREAMS
Collect, customize and race full-power autos you've owned or the best speed machines you need to drive, ranging from classic muscle cars to new turbo Supercars. All licensed! Does that get your motor running?

 • BETTING TO WIN!
Whether you bet small on each street run or need to study your opponents before betting pink slips, this is the most fun and intense quarter-mile of drag racing you’ve ever seen. Bets are available in single-player and multiplayer PvP battles.

• 4-PLAYER DRAG RACES
Quick shift from single-player to multiplayer races fast for the live thrills and fun of challenging the world’s top driving opponents! Take part in cool races vs. 3 other players in real-time PvP clashes where only one can win, and the others will burn out in defeat.

• MIND THE WEATHER
You never know when a drag race will throw a new twist, like a blizzard, rainstorm or burning heat on the street. Each weather simulator can have a real effect on your and your rival racers’ driving. So don't lose your grip and nitro your auto over the finish line!

• RACE AROUND THE WORLD IN THE MOST STYLISH LOCATIONS
Try not to be distracted by the top-quality 3D HD environments when you need to pop a nitro canister in 3 of the world’s top cities for speed: New York, Paris and Hong Kong.

• MAKE YOUR AUTO UNIQUE!
Going for a new look? Need some quick muscle upgrades? Then feel free to browse through numerous options to customize and power up your torque, nitro or engine power. Show your racer rivals real style with fun decals, and maximize your multiplayer performance with turbo speed, motor superchargers, nitro and much more.

• OUTSTANDING GRAPHICS
Feast your eyes on the cool 3D visuals and natural light simulator. Console-level HD graphics are a classic mark of what we do!

Tell us what you think or check out tips at:
» Forum: http://bit.ly/AsphaltStreetStormForum 

Join our Racer Community!
» Facebook: facebook.com/AsphaltStreetStormRacing
» YouTube: youtube.com/c/AsphaltGames
» Instagram: instagram.com/AsphaltStreetStormRacing
_____________________________________________

Visit our official site at http://gmlft.co/website_EN
Check out the new blog at http://gmlft.co/central

Don't forget to follow us on social media:
Facebook: http://gmlft.co/Asphalt_Streetstorm_FB
Twitter: http://gmlft.co/SNS_TW_EN
Instagram: http://gmlft.co/Asphalt_Streetstorm_IG
YouTube: http://gmlft.co/Asphalt_Streetstorm_YT
Forum: http://gmlft.co/Asphalt_Streetstorm_Forum

This app allows you to purchase virtual items within the app and may contain third-party advertisements that may redirect you to a third-party site.

Terms of Use: http://www.gameloft.com/en/conditions-of-use
Privacy Policy: http://www.gameloft.com/en/privacy-notice
End-User License Agreement: http://www.gameloft.com/en/eula","[['muscle', 'classic'], ['muscle'], ['graphics'], ['machines'], ['turbo', 'speed'], ['snowstorms'], ['pink', 'betting'], ['opponents'], ['heat', 'burning'], ['need', 'run'], ['style'], ['slips'], ['effect'], ['new', 'throw'], ['race'], ['multiplayer', 'maximize'], ['part', 'cool'], ['races'], ['drag'], [], [], ['third-party', 'site'], ['purchase'], ['grip'], ['customize', 'power'], ['browse']]","[['cars', 'ranging', 'graphics', 'classic', 'mark'], ['smash', 'stakes', 'way', 'show', 'quick', 'muscle', 'upgrades'], ['gameplay', 'games', 'match', 'Incredible'], ['need', 'speed', 'drive', 'best'], ['performance', 'motor', 'speed', 'motor', 'superchargers'], ['scorching', 'heat', 'rain', 'way'], ['heat', 'opponents', 'betting', 'pink', 'slips'], ['need', 'study', 'part', 'Take', 'top', 'driving', 'opponents'], ['street', 'rainstorm'], ['study', 'street', 'bet', 'small', 'street'], ['real', 'rivals', 'fun', 'decals'], ['fun', 'rivals', 'intense', 'win'], ['real', 'racers', 'rival', 'simulator', 'streets', 'Looking', 'real'], ['twist', 'race'], ['full-power', 'pink-slip', 'car', 'autos'], ['decals', 'performance', 'shift', 'single-player', 'multiplayer'], ['races', 'Take'], ['high-speed', 'single-player', 'drag', 'multiplayer', 'races', 'fun', 'addictive'], ['high-speed', 'race', 'know', 'cities', 'drag', 'racing', 'game'], ['third-party', 'advertisements', 'environments', 'pop', 'contain', 'need'], ['burn', 'fast', 'live', 'defeat', 'thrills', 'others'], ['redirect', 'Terms'], ['items', 'app', 'allows', 'virtual'], [""n't"", 'auto', 'nitro', 'lose', 'auto', 'finish', 'line'], ['torque', 'options'], ['feel', 'numerous', 'options', 'free']]"
Pipeline Empire,"Pipeline Empire is a game of logic, fast thinking and perception - connect the pipes. A little blossom needs water to survive. Build a pipe connect and convey water to spare the bloom. Now you can train yourself a become expert plumber game and save a little flower with supply water from the pipeline. Uncover your plumber abilities in this free plumber game.","[['thinking', 'perception'], ['connect', 'convey'], ['blossom'], ['water']]","[['connect', 'fast'], ['water', 'pipe'], ['water', 'A', 'needs', 'little', 'game', 'save', 'little'], ['bloom', 'pipeline', 'spare', 'supply']]"
Its My Ride - Your Private Cab,"We are Its My Ride, we are transforming the way you move around. Book your ride in just a few seconds, at no extra cost. HOW TO GET A RIDE? -With the app opened, order your ride for whenever you need (for NOW or BOOK for LATER) -Receive info regarding driver and vehicle. -Watch the Ride's route live on your map. -Payment can be made by credit card, paypal and cash(in selected cities only) -Give your feedback and rate your driver after your Ride to help Us improve the Its My Ride Experience. We are all about quality, convenience and safety. You will be able to see driver and vehicle information before the ride. You can Always expect the Its My Ride driver to take the extra mile for you. So sit back, relax and enjoy your RIDES! You have a suggestion or question for Us? Drop Us a line at help@thealgarveexperience.com Find Us on Facebook: https://www.facebook.com/TheAlgarveExperience Enjoy your Ride!","[[], ['extra'], ['ride'], ['driver', 'vehicle'], ['credit', 'made'], ['feedback'], ['cash'], []]","[['help', 'app', 'Us', 'Find', 'order', 'opened'], ['seconds', 'mile', 'cost', 'take', 'route', 'live', 'map'], ['information', 'order', 'opened', 'vehicle'], ['see', 'regarding', 'info', 'regarding', 'driver'], ['-Payment', 'card'], ['rate', 'cities', 'driver', '-Give'], ['paypal', 'selected', 'card', 'cities'], ['transforming', 'move', 'convenience', 'safety', 'way', 'quality']]"
ARMY Hero,"No more dreaming, you can stick with full of courage warriors. Everything is possible if you join with us.
Right now, join your teammates to defeat the dark and protect the Earth.
The world is in danger, the darkness is covering the planet. 
We need a hero like you to light up the fire in the light tower, dispel the dark that is taking over the earth.
With the ultimate weapon is a cannon, you will have to destroy the minions of darkness to regain the light towers.
There is only one chance, with each shot you have to watch the shot accurately and destroy the boss with only one shoot
Become the hero of the world.","[['shot', 'watch'], ['dispel', 'tower'], ['cannon', 'destroy'], ['regain'], ['darkness'], []]","[['chance'], ['dark', 'light', 'fire', 'light', 'tower'], ['weapon', 'minions'], ['towers', 'light', 'darkness', 'minions'], ['planet', 'world', 'danger', 'covering'], ['full', 'join', 'warriors', 'courage', 'defeat', 'teammates']]"
Serbiso,"Whether the school is cancelled or the central streets are blocked or maybe it’s weather-related road closures and you cannot leave the city? Get instant info from the city administration, which is important right now.
The bus/train/plain schedules are available to you. Any entrepreneur can register a company to promote one’s business and set up a booking process for the users.  
Do you need to contact the local authorities on the city life issues? Easy – just leave a message.

Serbiso – all you need is in your pocket.","[['closures'], ['city', 'life'], [], ['cancelled', 'central'], ['plain', 'train']]","[['leave', 'city', 'weather-related', 'road'], ['authorities', 'issues', 'contact', 'local', 'authorities'], ['users', 'process', 'company', 'register', 'entrepreneur', 'booking'], ['school', 'streets'], ['bus', 'schedules', 'right', 'The', 'bus']]"
TheNextLevelApp,Keep THE EDGE with The Next Level App! Find the Daily Edge and Next Level Media video updates all in one place.,[],[]
DELIBEAR: The New Delivery,"Do you need something from some place, the market or from your favorite restaurant? Anything from the pharmacy or the store close to your home? 

And cannot have it because of time or distance or even because the shop is closed and you have no one to take it to you?

Delibear is the Communication Application where you can upload an Ad to ask or request whatever you need, wherever you are, when you want it! 

In your City, Country or Abroad through other users who offer to take it.

You can use Delibear in 7 different ways, you just need somebody!

1. Send local: What do you have left and do not want to go back?

2. Domestic Shipments: Do you need to take a piece of furniture from London to Liverpool?

3. International: Is it your son on Erasmus in Spain and want to send something from Manchester or from UK to US?

4. Ask local: What do you need? Ask for it!

5. Domestic Deliveries: Do you need something from Cardiff or want that Scottish cake you love?

6. International Orders: Did you forget something traveling and need somebody to bring it to you?

7. DIY- You can offer yourself to carry and do the orders!!


PUBLISH YOUR AD AND FIX THE PRICE FOR YOUR COMMISSION!!


1-. Make your request to deliver it where you say, to your office or directly home, without moving; if you've left something away from you, in a hotel or restaurant, ask someone to bring it back.

2-. Want to send something? The keys that you have forgotten, send your bike or surfboard to the beach house... there are thousands of possibilities for your deliveries, publish it and hope that someone offers to do it for you!



Finally it arrives directly home or to the location you choose, thanks to other people who offer to do the commission.


ADVANTAGES OF DELIBEAR


• CLOSE: Through our positioning system you can see the closest ads in your location.

• IF YOU TRAVEL: whether you're a passenger or the driver, if you have free space you have the option to indicate the app your path and see ads from users that match your trip: could it be easier *?

• IN YOUR CITY: Ask for what you need or run errands in your town or city, offering the price for orders you have near you.

• POST YOUR ADS: Publish your ad completely free and add pictures to provide more information about your publication. One user saves money and the one who perfoms the custom takes the tip.

• FAST AND EASY CONTACT: With Delibear everybody can ask questions through the public chat of each publication; once you have chosen the user to perform the task, you go over to a private chat to close the details.

• SEARCH: thanks to its functionality and accessibility, Delibear can save your searches based on your location or on your trips to keep you informed and not miss any orders.

• CHOICE OF USER: trust is very important, therefore, with Delibear you decide on the user who will do the request; you can elect the one that best suits your request because of proximity, speed or confidence among potential users that also have been offered. For your convenience, you can download from the app or the website a model contract, fill it out and sign for your safety.

• REVIEWS: trust is very important in Delibear, so we created a system in which users can be evaluated upon completion of the assignment :) which allows you to have more security before contacting someone to do your order.

Delibear is available in different languages: English, Spanish and Portuguese, and is adjusted according to the language of the operating system of your phone.","[['offer'], ['choose', 'thanks'], ['home'], ['based', 'location'], [], [], [], [], [], [], [], ['market'], ['someone', 'hope'], ['thousands'], ['price', 'offering'], ['town', 'city'], ['proximity', 'request'], ['someone', 'contacting'], ['indicate', 'app'], ['operating', 'language'], ['see', 'closest'], ['see', 'ads'], ['users'], ['free'], ['chosen', 'user'], ['provide', 'information']]","[['carry', 'commission', 'orders', 'people'], ['location', 'people', 'thanks', 'functionality', 'accessibility'], ['close', 'store', 'location', 'directly'], ['searches', 'trips', 'trips', 'keep', 'informed'], ['send', 'important', 'something', 'want', 'trust', 'therefore'], ['different', 'task', 'ways', 'private', '7', 'go'], ['even', 'shop', 'contract', 'sign', 'closed', 'fill'], ['need', 'place', 'something', 'want', 'Scottish', 'cake'], ['takes', 'office', 'deliver', 'tip', 'custom', 'say'], ['somebody', 'ways', 'take', 'need', 'piece', 'furniture'], ['Shipments', 'everybody', 'Domestic', '2', 'questions', 'ask'], ['favorite', 'place', 'something', 'restaurant'], ['offers', 'publish'], ['possibilities', 'house', 'beach', 'deliveries'], ['city', 'orders'], ['errands', 'offering', 'run', 'errands', 'town'], ['speed', 'suits', 'proximity', 'speed', 'confidence'], ['security', 'order', 'assignment', 'allows', 'security'], ['path', 'option'], ['system', 'according', 'operating', 'system', 'phone'], ['ads', 'system'], ['path', 'users'], ['system', 'trip', 'match', 'created'], ['pictures', 'add', 'driver', 'space', ""'re"", 'passenger', 'driver'], ['perform', 'publication', 'user', 'saves', 'money'], ['pictures', 'publication', 'public', 'chat', 'publication']]"
