Name,Package Name,Description,Rating,Rating Count
Rolling Paper Ball.IO - New Adventure In The SKY 2,com.brown.roling,"A new challenging and interesting game in the vast sky.
There are many traps and barriers and make you addicted.
It is a game that pushes the boundaries of your speed and reaction.  
Now, let's control the ball and conquer the world by overcoming challenges.
Tab to begin and the ball will jump once and just like fly in the vast sky.
Double tab and double jump.
Control the ball to avoid the barriers and traps.
Pass the levels you will get the pleasure.
Nice pass-time little game.",4.0,117
Burger Go – Fun Diner Game,com.sanopy.bur,"Make tasty burger as fast as you can!
Serve waves of customers in your restaurant!

Become the most successful burger chef in the world!


AWESOME FEATURES:
- 60 levels with 180 challenging missions!
- Unlock new burgers and new toppings as you progress!
- Discover over 200+ burgers with different toppings!
- Over 100+ upgrades to purchase with your in game earning!
- Serve quirky, friendly, and crazy customers!
- Test your time management skills!
- Customize your burger restaurant!
- Challenge and help your friends!

Enjoy hours of burger making fun! 

Ingredients list: burger bun, muffin, beef patty, ketchup, cheese, mayonnaise, onion, pickle, lettuce, bacon, pork patty, sunny egg, chicken nugget, French fries, cripsy pork, BBQ sauce, Bakery style bread, coffee, cola. More to come soon!

More apps from Sanopy:
American Pizzeria
Tap Boutique – Girl Fashion

Problems? Contact us at support@sanopy.com",4.0,236
Blocky Racer - Endless Arcade Racing,com.fullfat.blockyracer,"From the makers of Blocky Football and Agent Dash comes a racing game everyone can play. Featuring simple controls with dynamic one-tap drifting and exhilarating speed boosts, charge through multiple stages where split-second overtaking wins the race! Collect and level-up cars to increase your score combo.

ADORABLE CHARACTERS
Build your race team with cute drivers and crazy vehicles, including a popstar driving a sports car, a ninja piloting a stealth-copter, a princess riding in a magical carriage and a monkey in a barrel.

BEAUTIFUL SCENERY
Drive through a living, breathing island circuit with tight corners and flowing straights. Beautiful varied scenery through countryside, rocky mountains, twisting forest roads, a valley lagoon with suspension bridge and beachside tunnel. Charming scenic details, a lighthouse, log cabins and campfires, railway, sand castles, buckets and spades, confetti trumpets and waving inflatable tube men!

FRESH STYLE
Introducing a fresh blocky look, that mixes retro style with modern graphical techniques and special effects.

FEATURES
• A racing game everyone can play
• 30 adorable characters with crazy vehicles
• Huge island circuit with stunning scenery
• Collect and level-up cars to increase score combo
• Stunning retro style mixed with modern techniques

facebook.com/fullfatgames
twitter.com/fullfatgames
www.fullfat.com",4.5,1659
3D Go Kart Parking PRO - Full High Speed Racer Version,com.juuqlabs.gokartparking.pro,"** THIS VERSION HAS NO IN GAME ADS **

You're about to get behind the wheel of a super fast go-kart racing machine.... are you ready??

In this ultra realistic racing and parking game, you need to do two things. 

First, you have to navigate a variety of twists and turns to get to your checkpoint. Each checkpoint adds time to your game. As long as you reach each checkpoint, you'll be able to continue racing. 

Second, once you cross the finish line, you have to successfully park your go kart. Sounds easy? It's not! 

In summary, this game is a mix between a classic racing game, mixed in with a challenging parking simulator. You get the best of both worlds!

FEATURES

- All go karts unlocked!
- Realistic super HD 3D graphics.
- 10 levels to unlock!
- Multiple camera views.
- Multiple sterring options.",,
Apocalyptic Prison Break Out Escape the G-A-T New York Jail Police,com.risinghighapps.actionprisonbreakoutpolicerun,"The Apocalypse has devastated New York and prison security has now failed along with all outside communication. Electric compound gates no longer stand in the way of freedom, so this is your chance to escape across the downtown rooftops in this addictive endless runner game.

Rogue cops will be in force so whatever you do, don’t stop running! Make your way through the devastated City wasteland, jump and slide past abandoned bill boards and shutters, duck under the giant cranes that still deliver wood and frozen in time. Set your energy for an all time high and grab all the power drinks you can, wherever you can as you don’t have much time until dawn approaches.

Can you escape before your vital energy runs out? Will you forever fall into the dark City depths?

Features:

- Addictive Apocalypse Runner
- Jump and Slide to outrun the Cops
- Replenish your energy with power drinks

Find Us Online:-

Facebook : Facebook.com/RisingHighApps
Twitter: @RisingHighApps
Web: www.RisingHigh.net",,
3D Go Kart Parking - eXtreme Go Karting Driving & Racing Games,com.juuqlabs.gokartparking.free,"You're about to get behind the wheel of a super fast go-kart racing machine.... are you ready??

In this ultra realistic racing and parking game, you need to do two things. 

First, you have to navigate a variety of twists and turns to get to your checkpoint. Each checkpoint adds time to your game. As long as you reach each checkpoint, you'll be able to continue racing. 

Second, once you cross the finish line, you have to successfully park your go kart. Sounds easy? It's not! 

In summary, this game is a mix between a classic racing game, mixed in with a challenging parking simulator. You get the best of both worlds!

FEATURES

- All go karts unlocked!
- Realistic super HD 3D graphics.
- 10 levels to unlock!
- Multiple camera views.
- Multiple sterring options.",1.5,7
Shopkins Dash!,com.mightykingdom.shoppiedashfreetoplay,"Let’s run, jump and play with the Shopkins and Shoppies!

The Shopkins and Shoppies are dashing through Shopville - how far can they go?!

Collect coins and play with your favorite Shopkins friends - there are over 100 to collect!

Shopkins Dash! is completely free to play, but some optional in-game items can be purchased with real money. You can turn off this feature by disabling in-app purchases in your device’s settings. By playing the game you agree to the terms of use, which can be found at http://www.moosetoys.com/about/terms-of-use
 
Stay Connected! 
Visit our official site at http://www.shopkinsworld.com
Follow us on Twitter https://twitter.com/ShopkinsWorld, Facebook https://www.facebook.com/ShopkinsWorld and Instagram https://instagram.com/shopkins_world 
Check out the Shopkins webisodes and videos on Youtube https://www.youtube.com/user/ShopkinsWorld
 
Contact us for more information at: http://www.moosetoys.com/about/contact 
Privacy Policy http://www.mightykingdom.com/privacy-policy/
Terms of Use http://www.moosetoys.com/about/terms-of-use

The Shopkins Dash! app is subject to the App Store terms and conditions.
 
2013 Moose. Shopkins logos, names and characters are licensed trademarks of Moose Enterprise Pty Ltd. All rights reserved.",4.0,59
Go Kart -  Free RaceTrack Chase,com.mangokingstudios.gokarts,"GO Kart race with super action and team play!

Race to reach the furthest end of the track.
Choose from a few different karts and have some fun.

Avoid the other karts and items in the road.
Get your score logged onto the GameCenter leaderboard for all to see!
Works with IOS 7!",,
Headlines: Live Breaking News,com.doapps.1d147e7672c3a382a3d8bac253993c23,"Headlines brings daily stories from around the World + US & UK: news, weather and sports on your mobile device with a clean, intuitive design - perfect for any news junkie.

The Headlines app is the news report reader for:
> National and World news, weather and live sports notifications
> Today’s local and national weather forecast via a front page widget as well as more details in the weather section + traffic alerts
> Business video and stock market summary
> Opinion polls
> State and USA lottery results feed
> Plus a wide variety or articles in: politics talk radio, science updates, technology, entertainment, movies, TV, health & food radio podcasts, travel videos, daily horoscopes, book reviews & photos of the day
> Licensed content from news sources updated 24 hours/day including: Reuters, Business Insider, Medium blogs, Townhall & more…

Ready for a news break? Download the Breaking Headlines app now for your mobile device, it's free!",4.0,2615
Pandora's Solitaire Collection,com.ccbrothers.SolitairePackFree,"THE WORLD'S BEST SOLITAIRE GAME?
• Try now ""SUPER"" collection of Solitaire, you can almost feel the cards on your hand.

DREAM
• Our goal is a make the best Solitaire game in the world, try now how we've succeeded!

ATMOSPHERE
• This kind atmosphere and gameplay, you really can't see in the other solitaire games.

DESIGN
• Designed directly for iPhone, iPad, iPhone X devices, so you can get the best experience with every different device.

GAMEPLAY
• Interesting deals, easy gameplay, different layouts, large cards, beautiful graphics and amazing animations and game is also fun to play!

LOADING / SAVING
• Save the game situations and try different moves, you can't find this feature on other games.

• • • • • 

CLASSIC SOLITAIRE GAMES
• Klondike, Freecell, Spider, Forty Thieves, Russian, Scorpion, Aces & Kings, Alaska, Baker's Game, etc...

EASY SOLITAIRE GAMES
• Pyramid, TriPeaks, Golf, Yukon, Eight Off, Fifteens, Wasp, Marble, etc...

SPECIAL SOLITAIRE GAMES
• Castle, Penguin, Lucas, Goldfield, Canfield, Maria, Buffalo Bill, Diplomat, Giant, etc...

BONUS GAMES
• Color Sudoku, Original Sudoku, Tasty Words, Star Puzzle, Plumber Link, Marble Solitaire, Video Poker, Speedtest, War, Double War, etc...

• • • • • 

DAILY CHALLENGE
• Play every day and enjoy fantastic challenges.

• • • • • 
 
FEATURES
• Beautifully animated playing cards
• Beautiful and easy to use interface
• Big and readable playing cards
• Loading / Saving possibility
• Unlimited Daily Challenges
• Unlimited Undo
• Unlimited Help
• One touch to place a card or drag and drop
• Incredible special effects
• 7 card face themes
• 99 card background themes
• 12 stunning and beautiful game themes
• Beautiful isometric 3d gameplay
• Great live statistic
• Quick solitaire Rules & Help (watch demo games)
• Smart hints
• Left handed
• Kingdom trophies (jewels, diamonds, rings, crowns, swords, yt..)
• Designed for tablet
• Designed for phone
• Designed for iPhone X
• Possible to hide clock & points
• Possible to change the ad free version (Premium user)
• More fantastic features coming later...

• • • • • 

Download the classic Solitaire for your iPhone and iPad now! Hope you like it :)",4.0,208
