Name,Package Name,Description,Rating,Rating Count
White Noise Sleep Pillow Sound,com.heavydutyapps.sleeppillowfree,"With this app you'll sleep tonight, guaranteed.
Its the most effective & highest quality sleep app, with over 9,400,000 happy customers. 

FEATURED on ABC, CBS, BBC, Wall Street Journal, Successful Living, AppAdvice, AppCraver, 148Apps, Appolicious, & several radio stations

RECOMMENDED BY TOP DOCTORS 
on HealthTap.com

This is the famous ""APP THAT HELPS THE WORLD SLEEP"". Turn it on and you'll be asleep in minutes, guaranteed.

Sleep Pillow provides an advanced set of high quality ambient sounds, premixed for perfect sleep enhancement. The sounds are recorded and enhanced to relax and make you sleep. They isolate, create a relaxed environment, and put you into a cyclical sleep pattern. 

The way these sounds are created will induce sleep even for difficult sleepers or in the noisiest environments.


--- ULTIMATE SOUND SET ---

● Naturally recorded sounds
● Sound mixes - up to 300,000 combinations
● Pre-mastered & high quality 

Some of our sounds:
light rain | medium rain | tropical rain | rain on tent | rain on car + wipers | thunder storm | wind & rain & thunder storm | wind-vane blade | wind in field | outside bonfire | inside fireplace | garden fountain | stream | bubbling stream | gentle beach waves | beach & white noise mix | beach waves & birds | row boat | motor boat | birds & gentle frogs | small tropical birds | distant birds | lake birds | jungle cave birds | jungle life | forest life | horse running in field | whale song | underwater dive | bubbles | cold drink with ice | quiet city traffic | city nightlife | luxury car ride | business class travel | train ride | wall clock | mother's heartbeat | thin wind chimes | medium wind chimes | thick wind chimes | wooden wind chimes | underwater melody | temple atmosphere | indian tent | beach resort hammock | soothing guitar | quiet piano | couple's getaway melody | dream catcher melody | massage atmosphere music | beach meditation music | quiet resort room | metronome | baby lullaby 1 | baby lullaby 2 | baby lullaby 3 | white noise | blue noise | radio crackle | ceiling fan | box fan | metal box fan | tall stand fan | small fan | hair dryer | vacuum | clothes dryer 


---- OTHER FEATURES ---- 

● Create sound mixes: 300,000 combinations
● Sleep timer with slow fade-out  
● Alarm clock with slow fade-in
● App runs in the background 
● App runs while device locked / screen dark
● Favorite sounds shortlist 
● High quality nature images, to set the mood
● natural iPhone / iPod / iPad support


--- PRESS & MEDIA QUOTES ---

● Wall Street Journal: ""the hottest tracks on digital playlists: oscillating fan, crickets, waves...""

● AppAdvice: ""No matter what the reason, Sleep Pillow can make a stressful mood just disappear.""

● 148Apps: ""remarkably easy to use… the sound effects included are recorded really well.""

● Successful Living: ""Great for those nights you have trouble falling asleep… it keeps its promise of getting you to sleep.""

● AppCraver: ""Cure Insomnia with iPhone and Sleep Pillow.""

● WGNA Radio: ""There's an app to help you sleep!""


----- CUSTOMER REVIEWS -----

Cobra16: ""Great. After 30 years of chronic pain because of an accident, and using strong medications to put me to sleep, this is a god send. The free app let me go to sleep in less than 10 minutes. After two nights of restful sleep, I purchased the full version. Now, I am on my fourth night without narcotics. Thank You.""

Shannon Griffin: ""...Sleep Pillow was a complete lifesaver… I wonder how I ever managed without""

Zina zinelor: ""…thank you for making my life a little better""

TuneMeee: ""I was not convinced it could get me to sleep until I woke up many hours later looking for my phone.""

Callmeloislane: ""…literally the only thing that will put me to sleep…""


---- FREE VERSION ----
9 Awesome Sounds

● Privacy Policy: 
https://www.fitness22.com/privacy-policy

● Terms of use: 
http://fitness22content.com/Components/WebPages/TermsOfUse/TermsOfUse.html

● We are here for you: support@fitness22.com",4.5,38001
White Noise Lite,com.tmsoft.WhiteNoiseLite,"Do you have trouble going to sleep? Are you traveling on a plane and need a quick power nap? Does your newborn baby wake up in the middle of the night? There are numerous benefits to using White Noise: 

• Helps you sleep by blocking distractions 
• Relaxes and reduces stress 
• Pacifies fussy and crying babies 
• Increases focus while enhancing privacy 
• Soothes headaches and migraines 
• Masks tinnitus (ringing of the ears) 

Even when you’re asleep, your brain is constantly scanning and listening for sounds. If it’s too quiet, unwanted noises such as faucet drips or police sirens can interrupt your sleep. White Noise generates sounds over a wide range of frequencies, masking those noise interruptions, so you can not only fall asleep, but stay asleep. 

SOUND CATALOG

Air Conditioner, Airplane Travel, Amazon Jungle, Beach Waves Crashing, Blowing Wind, Blue Noise, Boat Swaying in Water, Brown Noise, Camp Fire, Cars Driving, Cat Purring, Chimes Chiming, City Streets, Clothes Dryer, Crickets Chirping, Crowded Room, Dishwasher Rinsing, Extreme Rain Pouring, Frogs at Night, Grandfather Clock, Hair Dryer Blowing, Heartbeat, Heavy Rain Pouring, Light Rain Pouring, Ocean Waves Crashing, Oscillating Fan, Pink Noise, Rain on Car Roof, Rain Storm, Running Shower, Running Water, Stream Water Flowing, Thunder Storm, Tibetan Singing Bowl, Train Ride, Vacuum Cleaner, Violet Noise, Water Dripping, Water Sprinkler, White Noise

APPLICATION FEATURES 

• 40+ perfectly looped sounds with additional free sound downloads from the White Noise Market app or website: https://whitenoisemarket.com/
• Record and professionally loop sounds without being an audio engineer!
• Revolutionary Mix Pad editor for creating new soundscapes like a DJ with support for adjusting sound position, sound variance, volume, and pitch of each individual sound in the mix
• Upload and Share your recordings and mixes with the White Noise Market app
• Full screen digital clock with multiple colors and brightness controls makes it the perfect companion for any nightstand
• All screen resolutions supported including iPhone X, iPhone 5-8+, and iPad
• Portrait and Landscape orientations supported.
• Advanced alarm and timer system that slowly fades audio in and out so you awake naturally feeling more refreshed
• On-screen media player and volume controls with swipe gesture support for navigating sound collection
• Heart favorite sounds and mixes in the sound catalog for quick access using the Favorites view
• Set Music alarms that slowly fade in so you wake refreshed 
• AirPlay sounds to Bluetooth devices or Apple TV
• Remote media controls on lock screen and headphones
• Advanced controls for volume, balance, pitch, mixing with iPod music, looping the playlist, custom alarm snooze times, and more
• Upgrade to the full version to have audio play in the background and to remove advertising.

PRESS REVIEWS 

White Noise has been featured by popular TV shows (Today Show, Dr. Oz Show, FOX&Friends, Late Night with Jimmy Fallon), major media outlets (NBC News Today, Health Magazine, The Washington Post, NY Times, CNET, Esquire, PC Magazine), and raved about by millions of satisfied customers.  Visit our website at https://www.tmsoft.com/ for more details.

UPGRADE

White Noise was created for the original iPhone in 2008 by TMSOFT and has been continuously updated with new features.  Download the full version of White Noise for background audio, additional alarms, Apple watch integration, and no ads.  Just tap the + button and upgrade to learn more.

MORE INFO

Download new sounds at https://whitenoisemarket.com/

Like us on Facebook at https://www.facebook.com/WhiteNoiseApp

Follow us on twitter at https://twitter.com/whitenoiseapp

Support and FAQ info at https://www.tmsoft.com/white-noise/support/",4.0,158201
Soothing Sleep Sounds,com.phase4mobile.sleepsoundsfree,"Fall asleep fast to 10 categories of high-quality full-stereo recordings from around the world.

Sleep deeply every night, and wake up feeling fresh and energized.

Soothing Sleep Sounds provides a beautiful library of high-quality, naturally recorded sounds. Much better than synthetic sounds and short repetitive loops, these are real-world sounds with all the richness, texture, and nuance of the natural environment.

Imagine falling asleep to soft rain in an Oregon coastal rainforest, waves on a pebble beach, South African crickets, a warm crackling campfire, or enchanting wind chimes.

Or … if you prefer the steady hum of 'white noise’, fall asleep to a steady blizzard, a flowing glacial stream, or pure white and pink noise.

You will fall asleep fast and wake up feeling refreshed and rejuvenated.

What's more, Soothing Sleep Sounds can be used anytime you need to block out the outside world:
• Increase your ability to focus and be creative at work by removing distractions.
• Soothe your baby or small children and create a peaceful sanctuary for you and your family.
• Transform your hotel room into a familiar sleep oasis by blocking out noisy neighbors, ice machines, and elevator doors.
• Create a calm and tranquil environment for meditation and yoga.

And if that isn't enough, you can create your own personalized mixes for sleep, work, travel, nap time, or meditation, blending up to 6 sounds at a time.

Improve your sleep, your health, and your sense of well-being starting tonight.

Soothing Sleep Sounds Features:
• 25 natural sounds recorded on location around the world
• Long high-quality stereo recordings
• Easy-to-create blended mixes of any 6 sounds
• Beautiful high-definition images from around the globe
• Modern easy-to-use interface, tailored for nighttime use
• Sleep timer with slow audio fade-out, settable with a simple tap
• Easy search functions to discover your favorite sounds
• Runs in background while using other apps or when the screen is locked
• Mixes with other sound apps such as Music or Audiobooks
• 10 sound categories, including Rain, Ocean, Rivers & Streams, Crickets & Insects, Frogs, Wind Chimes, Wind, Fire, Birds, Soundscapes

Download Soothing Sleep Sounds now to start sleeping better tonight.


Image credits: http://www.sleepsoundshq.com/image-credits/",4.5,1370
Water By Cleo,com.epicpixie.Water-by-Cleo,"Staying hydrated is key when it comes to our health and wellbeing. But even if we all know that our bodies can’t function properly without water we may not be drinking enough of it. That is why we developed Water by Cleo.

Cleo will help you remember to drink that extra glass of water for lunch or when you wake up in the morning. However, she is not only concerned about your wellbeing but also about her own and this is the twist. Your actions affect her health as much as your own. If you don't drink enough water neither does Cleo. On the other hand, if you are on top of things so is Cleo.

Simply check in with Cleo and she will help you along the way. You may even be surprised. It may not take much to make you feel a bit more energized. Fatigue, headaches or lack of motivation due to dehydration could all be a thing of the past.

Health App Integration
For your convenience the entries you log in Water by Cleo are also saved to the Health app.",,
Sleep Pillow White Noise Sound,com.heavydutyapps.sleeppillow,"With this app you'll sleep tonight, guaranteed.
Its the most effective & highest quality sleep app, with over 9,400,00 happy customers. 

FEATURED on ABC, CBS, BBC, Wall Street Journal, Successful Living, AppAdvice, AppCraver, 148Apps, Appolicious, & several radio stations

RECOMMENDED BY TOP DOCTORS 
on HealthTap.com

This is the famous ""APP THAT HELPS THE WORLD SLEEP"". Turn it on and you'll be asleep in minutes, guaranteed.

Sleep Pillow provides an advanced set of high quality ambient sounds, premixed for perfect sleep enhancement. The sounds are recorded and enhanced to relax and make you sleep. They isolate, create a relaxed environment, and put you into a cyclical sleep pattern. 

The way these sounds are created will induce sleep even for difficult sleepers or in the noisiest environments.


--- ULTIMATE SOUND SET ---

● 70 Naturally recorded sounds
● Sound mixes - up to 300,000 combinations
● Pre-mastered & high quality 

Some of our sounds:
light rain | medium rain | tropical rain | rain on tent | rain on car + wipers | thunder storm | wind & rain & thunder storm | wind-vane blade | wind in field | outside bonfire | inside fireplace | garden fountain | stream | bubbling stream | gentle beach waves | beach & white noise mix | beach waves & birds | row boat | motor boat | birds & gentle frogs | small tropical birds | distant birds | lake birds | jungle cave birds | jungle life | forest life | horse running in field | whale song | underwater dive | bubbles | cold drink with ice | quiet city traffic | city nightlife | luxury car ride | business class travel | train ride | wall clock | mother's heartbeat | thin wind chimes | medium wind chimes | thick wind chimes | wooden wind chimes | underwater melody | temple atmosphere | indian tent | beach resort hammock | soothing guitar | quiet piano | couple's getaway melody | dream catcher melody | massage atmosphere music | beach meditation music | quiet resort room | metronome | baby lullaby 1 | baby lullaby 2 | baby lullaby 3 | white noise | blue noise | radio crackle | ceiling fan | box fan | metal box fan | tall stand fan | small fan | hair dryer | vacuum | clothes dryer 


---- OTHER FEATURES ---- 

● Create sound mixes: 300,000 combinations
● Sleep timer with slow fade-out  
● Alarm clock with slow fade-in
● App runs in the background 
● App runs while device locked / screen dark
● Favorite sounds shortlist 
● High quality nature images, to set the mood


--- PRESS & MEDIA QUOTES ---

● Wall Street Journal: ""the hottest tracks on digital playlists: oscillating fan, crickets, waves...""

● AppAdvice: ""No matter what the reason, Sleep Pillow can make a stressful mood just disappear.""

● 148Apps: ""remarkably easy to use… the sound effects included are recorded really well.""

● Successful Living: ""Great for those nights you have trouble falling asleep… it keeps its promise of getting you to sleep.""

● AppCraver: ""Cure Insomnia with iPhone and Sleep Pillow.""

● WGNA Radio: ""There's an app to help you sleep!""

● Privacy Policy: 
https://www.fitness22.com/privacy-policy

● Terms of use: 
http://fitness22content.com/Components/WebPages/TermsOfUse/TermsOfUse.html",5.0,21075
Plant Watering Reminder: Care For Indoor Plants,com.qichen.waterPlant,"This app reminds you to water your plants.

Have you ever forgotten to water your plant and seen it drying out? Plants need to be watered consistently, but it’s really hard to remember to do so. With this app, you will never forget to water your plants again!

Features:
+ Easy setup
+ Remind you to water your plants
+ View all the plants that need to be watered today
+ Customizable image for plant
+ User-friendly Interface",4.0,58
"Relax Melodies Seasons Premium: Mix Rain, Thunderstorm, Ocean Waves and Nature Ambient Sounds for Sleep, Relaxation & Meditation",com.ipnossoft.irelaxseasons,"The ultimate relaxing app for a stressless year no matter the season. 
Forget the stress, overcome your body tension and free up your mind by falling into a peaceful relaxation that you surely deserve!

Relax Melodies Seasons helps you to easily combine ambient sounds and relaxing melodies (from all four seasons) to create your own and personal relaxing session. Let your mind travel to any season of the year to enjoy back the feeling of a warm day at the beach, a calm spring morning, a peaceful october rain or even a cold winter day! Possibilities are endless as you start mixing!

An extra 12 Christmas melodies are also included to put you in the mood for the Holidays!

== Features == 

• 48 High quality ambient sounds. A dozen for each season of the year!
• 12 additional ambient sounds SPECIAL CHRISTMAS.
• 6 Binaural beats frequencies for brainwave entrainment
• Play your mix in the background while using your other apps!
• Enjoy almost infinite possibilities by mixing your favourite sounds together at customizable volumes.
• Include 5 off the shelf favourites for easy startup.
• Create, Name, Save, Sort and Replay your mixes by adding them to your Favorites list.
• Clock Display with brightness adjustment.
• Multiple Alarms & Timers system. Use your favorite mixes as an alarm to wake up in the mood you want!

== 48 Ambient Sounds ==

Blizzard, Hail, Small Bells, Church Bells, Winter Sanctuary, Traffic in Snow, XC Skiing, Heater, Train, Fireplace, Hockey Arena, Winter Wind
Aurora, Frogs, Mountain River, Spring Birds, Horse Wagon, Seashore, Farm, Melting River, The Grove, Flag, Mother Nature, Wind Fields
Camping Rain, Dreams, Sprinkler, Crickets, Family at the Beach, Tropical Island, Desk Fan, Jet Boat, Underwater, Downtown, Lawnmower, Whales
Autumn, Forest Night, Water Drip, Rain Fall, New Beginning, Wind in Leaves, Fine Rain, Thunderstorm, Wood Chimes, Steps on Leaves, Water Dock, Wipers

== 12 Christmas Ambient Sounds ==

Carol of the Bells, Jingle Bells, Christmas Day, Merry Christmas, Christmas Story, Music Box, Deck the Halls, O Christmas Tree, Green Sleeves, O Come All Ye Faithful, Silent Night, Hark! The Herald Angels Sing

== 6 Binaural Beats ==

Dreamless Sleep - 2.5Hz, Dreams - 4Hz, Deep Meditation - 5Hz, Concentration - 20Hz, Pre-Sleep - 8Hz, Relaxation - 10Hz

Download it now and get the most personalized relaxation experience ever. With only a few taps create the perfect relaxing ambience that will resonates perfectly with you.
Use ambient sounds and binaural beats to either simply relax or help your brain fall asleep. Enjoy the seasons of the year at anytime on any day!

Try it today and reclaim your sleep.

Ipnos - http://www.ipnos.com
Online - http://www.relaxmelodies.com
Facebook - https://www.facebook.com/relaxmelodies
Twitter - https://twitter.com/relaxmelodies",5.0,1742
Wall Stacker,com.haphazrd.wallstacker,"Help Inky move along the wall!
Drag and drop blocks on empty spaces to help Inky along.
Watch out! Inky can only jump and fall from one block at a time.
Be sure to squash any enemies you see with a block as well!",,
Jack's Holiday Escape,com.whp.jacksholidayescape,Jack holidays started but looks like everyone in the city is in his way!!!,,
Water Bottle Hard Flip Best Teenage Challenge 2K16,com.D4Duck.WaterBottle,"CAN YOU COMPLETE THE CHALLENGE?

The water bottle challenge has been inspired by the rigorous water-flipping stunts all over the web. Well, we brought you the water bottle challenge. Flip and see how far can you go while collecting all of the water droplets.

Enjoy and happy flipping...!",,
