" ""  If you love food and hate pants","[-0.15000000000000002, 0.75]","[0.326, 0.388, 0.287]",3
" ""Yelp has a lot more functionality (Placing orders","[0.5, 0.5]","[0.0, 1.0, 0.0]",3
  open rice app was great in Hong kong like a YELP ,"[0.4, 0.625]","[0.452, 0.548, 0.0]",3
  any chance of an iOS update coming soon? I'm at 156 reviews and the mobile app is so hard to navigate around and confusing!,"[-0.33333333333333337, 0.4708333333333333]","[0.074, 0.776, 0.15]",2
" ""Hungry? - If you love food and hate pants","[-0.15000000000000002, 0.75]","[0.302, 0.432, 0.266]",2
 Off to Chronic Tacos? Lyft for free w/ Lyft app &lt; Promo/Credit code: COMIX ; ,"[0.4, 0.8]","[0.202, 0.798, 0.0]",2
 Fried Portobellos were awesome. Download the app and get a free mini pizookie. (@ BJ's Restaurant ; Brewhouse) on # ,"[0.7, 0.9]","[0.33, 0.67, 0.0]",1
 There needs to be a feature on the Yelp app that shows whether or not the restaurant/place is on the way to your other location,"[-0.125, 0.375]","[0.0, 1.0, 0.0]",1
 BRUH yelp is my favorite social media app ,"[0.26666666666666666, 0.5333333333333333]","[0.3, 0.7, 0.0]",3
  BRUH yelp is my favorite social media app ,"[0.26666666666666666, 0.5333333333333333]","[0.3, 0.7, 0.0]",3
" """"""Going out to El Chico? With the Lyft app","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Local Guides is Google's Yelp. Pleasant with that info integrated to the Google Maps app.,"[0.36666666666666664, 0.48333333333333334]","[0.191, 0.809, 0.0]",1
 New  : Guide for Yelp ,"[0.13636363636363635, 0.45454545454545453]","[0.0, 1.0, 0.0]",2
 No  I don't want your app. Make your site mobile freaking friendly. Stop redirecting me.,"[0.375, 0.5]","[0.155, 0.436, 0.408]",1
 Off to Rubio's Fresh Mexican Grill? Lyft for free w/ Lyft app &lt; Lyft promo code: COAX ; ,"[0.2333333333333333, 0.43333333333333335]","[0.272, 0.728, 0.0]",2
 I wish there was a reverse Yelp app where you could rate customers and leave them shitty reviews.,"[0.0, 0.0]","[0.132, 0.634, 0.234]",1
 United States Free 47. Yelp - Yelp  5798,"[0.4, 0.8]","[0.55, 0.45, 0.0]",2
" ""Yelp's Gleaux BUTI Gleaux: Grown-Up Glow Party on : Things to take with you: the Yelp App","[0.0, 0.0]","[0.153, 0.847, 0.0]",1
 How are u managing Yelp reviews on your phone? Make life easy w/ Yelp biz app! ,"[0.5416666666666667, 0.8333333333333334]","[0.186, 0.814, 0.0]",2
 Like our business? Check us out on Yelp...,"[0.0, 0.0]","[0.263, 0.737, 0.0]",2
 Had an offer on their app for a free grilled chicken sandwich. (@ Chick-fil-A) on  ,"[-0.09999999999999998, 0.875]","[0.202, 0.798, 0.0]",1
" ""  If you are heading to the  show this weekend","[0.0, 0.0]","[0.0, 1.0, 0.0]",3
  How are u managing Yelp reviews on your phone? Make life easy w/ Yelp biz app! ,"[0.5416666666666667, 0.8333333333333334]","[0.186, 0.814, 0.0]",2
 Introducing the Yelp Ed. Mango Twist avail 50% off if check-in via Yelp app starting tdy-Jun 30 at selected stores. ,"[0.0, 0.1]","[0.0, 1.0, 0.0]",2
  A8 Do not have a app currently but going to try Yelp out! ,"[0.0, 0.4]","[0.0, 1.0, 0.0]",1
  A8 I love the Yelp app! ,"[0.625, 0.6]","[0.529, 0.471, 0.0]",3
A8 Do not have a app currently but going to try Yelp out! ,"[0.0, 0.4]","[0.0, 1.0, 0.0]",1
  A8 I love the pinterest app and yelp ,"[0.5, 0.6]","[0.412, 0.588, 0.0]",2
  Introducing the Yelp Ed. Mango Twist avail 50% off if check-in via Yelp app starting tdy-Jun 30 at selected stores. http,"[0.0, 0.1]","[0.0, 1.0, 0.0]",2
" ""Yelp","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Off to Quiznos? Lyft for free w/ Lyft app &lt; Lyft code is: CLEO ; ,"[0.4, 0.8]","[0.202, 0.798, 0.0]",2
 Come find me for free Yelp Schwag when you show the Yelp app!  (@ London Beer ; BBQ Show) on  ,"[0.5, 0.8]","[0.166, 0.834, 0.0]",1
  stop pushing your mobile app on me. I just want reviews of  in Nashville and ur not putting me in the holiday spirit!,"[0.0, 0.0]","[0.229, 0.687, 0.084]",1
" ""A team from Yelp recently set off on a trip","[0.0, 0.25]","[0.0, 1.0, 0.0]",3
" ""when a dude whos trying to get w/ you adds you on literally every app you have  yo bro","[0.0, 0.0]","[0.0, 1.0, 0.0]",1
" """"""Going out to Shoney's? With the Lyft app","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
 Like our business? Check us out on Yelp!...,"[0.0, 0.0]","[0.285, 0.715, 0.0]",2
 Just discovered this little animation gem on yelp's iOS app. Pull down to refresh and it launches a little critter in a rocket ship. Love i,"[-0.0076388888888888895, 0.4722222222222222]","[0.16, 0.84, 0.0]",3
 Just discovered this little animation gem on yelp's iOS app. Pull down to refresh and it launches a l...  ,"[-0.17152777777777778, 0.3944444444444445]","[0.0, 1.0, 0.0]",3
