Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Great app,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
"Out of all the messaging apps that are out there, viber is my favourite.. Also good customer service!!☺","[0.7, 0.6000000000000001]","[0.17, 0.83, 0.0]",-1
Confirmation sms with pin is not sent by viber 😒,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
I love it because it is the first free app that we can make video calls . ☺☺,"[0.3833333333333333, 0.5777777777777778]","[0.349, 0.651, 0.0]",-1
Love viber,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
Excellent,"[1.0, 1.0]","[1.0, 0.0, 0.0]",2
Ok,"[0.5, 0.5]","[1.0, 0.0, 0.0]",2
Makes communication pretty easy for an old fossil like me,"[0.2611111111111111, 0.6777777777777779]","[0.551, 0.449, 0.0]",2
"I don't know what it is, but for whatever reason this app likes to not deliver my messages. I use it to communicate with my gf with whom I am in a long distance relationship with, and it is quite infuriating to send messages and to see them not being sent. Please fix this. Other then that, this app is great.","[0.0062500000000000056, 0.58125]","[0.134, 0.759, 0.107]",1
Its realy worked,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
I can't log in to viber. Please fix this! Again!,"[0.0, 0.0]","[0.265, 0.735, 0.0]",1
Viber,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
The best app for communication,"[1.0, 0.3]","[0.512, 0.488, 0.0]",2
Потрясающе!,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
Very  good. ..,"[0.9099999999999999, 0.7800000000000001]","[0.615, 0.385, 0.0]",3
I have to reformat my phone last night all went well except for viber! Whenever i try to type it crashed! I cant reply to any.chat i have!!!!!,"[0.0, 0.06666666666666667]","[0.124, 0.876, 0.0]",1
Nyccc,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Really very good communication App with excellent voice,"[0.955, 0.8900000000000001]","[0.544, 0.456, 0.0]",4
Colmbo,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
When I enter my phone number after a second it show error. Please,"[0.0, 0.0]","[0.252, 0.559, 0.189]",1
Really super........ .,"[0.3333333333333333, 0.6666666666666666]","[0.0, 1.0, 0.0]",3
Verry good,"[0.7, 0.6000000000000001]","[0.744, 0.256, 0.0]",3
Great for traveling,"[0.8, 0.75]","[0.672, 0.328, 0.0]",3
Δωρεάν κλήσεις (τι λέμε τώρα),"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
Good,"[0.7, 0.6000000000000001]","[1.0, 0.0, 0.0]",3
"I can't call. keep saying ""NOT ON VIBER""","[0.0, 0.0]","[0.0, 1.0, 0.0]",2
👌👌👌,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
I emailed with an issue I faced when purchasing stickers. Received an immediate response asking for more information (to which I replied 2 weeks ago) and have heard NOTHING since. Even after chasing on numerous occasions.,"[0.25, 0.5]","[0.0, 1.0, 0.0]",2
It very usefull to call another country,"[0.2, 0.3]","[0.0, 1.0, 0.0]",2
Very nice,"[0.78, 1.0]","[0.756, 0.244, 0.0]",3
Good,"[0.7, 0.6000000000000001]","[1.0, 0.0, 0.0]",3
Excellent,"[1.0, 1.0]","[1.0, 0.0, 0.0]",2
Finally a great calling n chatting app bravo,"[0.8, 0.75]","[0.451, 0.549, 0.0]",2
Shah,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Loved it,"[0.7, 0.8]","[0.796, 0.204, 0.0]",3
Somebody used my number to make an account there should be a sms going out confirming the account creation,"[0.0, 0.0]","[0.175, 0.825, 0.0]",1
,"[0.0, 0.0]","[0.0, 0.0, 0.0]",-1
"After downloaded and updated the software for Note 5, the apps is not working well at all. There is a connection problem. Please resolve and send a updated Viber apps.","[0.0, 0.0]","[0.147, 0.718, 0.135]",1
Good!,"[0.875, 0.6000000000000001]","[1.0, 0.0, 0.0]",3
File uplod slow,"[-0.30000000000000004, 0.39999999999999997]","[0.0, 1.0, 0.0]",1
Viber out rate is too much cost,"[0.2, 0.2]","[0.0, 1.0, 0.0]",1
The network bad not good,"[-0.5249999999999999, 0.6333333333333333]","[0.0, 0.337, 0.663]",1
It helps to keep  in touch with  family and friends,"[0.0, 0.0]","[0.416, 0.584, 0.0]",3
🌟🌟🌟🌟🌟,"[0.0, 0.0]","[0.0, 1.0, 0.0]",-1
Good,"[0.7, 0.6000000000000001]","[1.0, 0.0, 0.0]",3
Yggh,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Viber,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Wish it had chat heads like messenger,"[0.0, 0.0]","[0.51, 0.49, 0.0]",2
You can do everything vith Viber.,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
The apps are really nice,"[0.6, 1.0]","[0.436, 0.564, 0.0]",3
Great app. Use it often and never a problem.,"[0.8, 0.75]","[0.514, 0.486, 0.0]",3
On Jelly Bean 4.1. Please fix it.,"[0.0, 0.0]","[0.277, 0.723, 0.0]",2
Hope,"[0.0, 0.0]","[1.0, 0.0, 0.0]",2
Impressive,"[1.0, 1.0]","[1.0, 0.0, 0.0]",2
Most simply and funny application,"[0.25, 0.6190476190476191]","[0.442, 0.558, 0.0]",3
I can easily reach my friends,"[0.43333333333333335, 0.8333333333333334]","[0.767, 0.233, 0.0]",3
Add conference call please? Thanks,"[0.2, 0.2]","[0.634, 0.366, 0.0]",2
"I love using viber specially for my family since i am working abroad. but please fix the video call, always hang and connection lost everytime I open the video. Its useless, can't able to see my family :(","[-0.10714285714285714, 0.5827380952380952]","[0.121, 0.651, 0.228]",3
Superb,"[1.0, 1.0]","[1.0, 0.0, 0.0]",3
Nice work for this application its done,"[0.6, 1.0]","[0.318, 0.682, 0.0]",3
Nobody is far,"[0.1, 1.0]","[0.0, 1.0, 0.0]",2
Good,"[0.7, 0.6000000000000001]","[1.0, 0.0, 0.0]",3
Nice,"[0.6, 1.0]","[1.0, 0.0, 0.0]",2
It's great,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
Best,"[1.0, 0.3]","[1.0, 0.0, 0.0]",4
Friends,"[0.0, 0.0]","[1.0, 0.0, 0.0]",2
How about my number 12 digits,"[0.0, 0.0]","[0.206, 0.794, 0.0]",2
Sometimes don't make any notification  sounds for incoming calls.,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Good and clear,"[0.39999999999999997, 0.4916666666666667]","[0.846, 0.154, 0.0]",2
Loved it,"[0.7, 0.8]","[0.796, 0.204, 0.0]",3
"could be 5 stars but you give the police access to the data and chats, and thus ruining our privacy","[0.0, 0.0]","[0.0, 0.878, 0.122]",1
,"[0.0, 0.0]","[0.0, 0.0, 0.0]",-1
I try to download but is cannot download. Why?,"[0.0, 0.0]","[0.0, 1.0, 0.0]",1
Nice,"[0.6, 1.0]","[1.0, 0.0, 0.0]",2
Kasto ramro chaina,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
cool,"[0.35, 0.65]","[1.0, 0.0, 0.0]",3
ive been trying to activate my account! shite link not working! wtf!,"[-0.625, 1.0]","[0.264, 0.736, 0.0]",1
,"[0.0, 0.0]","[0.0, 0.0, 0.0]",-1
Nice,"[0.6, 1.0]","[1.0, 0.0, 0.0]",2
Too much emphasis on stickers. OK for kids I suppose.,"[0.35, 0.35]","[0.268, 0.732, 0.0]",1
It's amazing,"[0.6000000000000001, 0.9]","[0.792, 0.208, 0.0]",3
Its amazinggggggg  gyzzzz,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Probably the first app I install on any new device. Good job.,"[0.3621212121212121, 0.46262626262626266]","[0.225, 0.775, 0.0]",1
Stupid app i dont like call ended unexpected and also it cannot catch the signal ..always weak even the internet is excelent 😈😈😈,"[-0.35833333333333334, 0.875]","[0.0, 0.693, 0.307]",-1
"Great for being connected. Besides requiring birth ends took be in Viber to be free, there are too many messages from unknown people indicating we've met","[0.4, 0.6625]","[0.236, 0.764, 0.0]",3
Works well...,"[0.0, 0.0]","[0.0, 1.0, 0.0]",3
Excellent,"[1.0, 1.0]","[1.0, 0.0, 0.0]",2
Amazing app,"[0.6000000000000001, 0.9]","[0.792, 0.208, 0.0]",3
awesome option for international travel where cell use is limited and expensive. we love the app.,"[0.18571428571428572, 0.48857142857142855]","[0.358, 0.56, 0.082]",1
Love it,"[0.5, 0.6]","[0.808, 0.192, 0.0]",2
It is very bad not open at right time,"[-0.20809523809523803, 0.6341269841269841]","[0.0, 0.678, 0.322]",1
"Bring back the old, simple Viber!!","[0.03333333333333333, 0.18571428571428572]","[0.0, 1.0, 0.0]",2
My internet connection is ok bt viber isnt connecting it started today make it work plzzzz,"[0.5, 0.5]","[0.128, 0.872, 0.0]",1
Wonderful,"[1.0, 1.0]","[1.0, 0.0, 0.0]",3
Best texting app in the hole wide world!!!!!!!!!!,"[0.03433871269226074, 0.35]","[0.434, 0.566, 0.0]",2
