Name,Package Name,Description,Rating,Rating Count
App Say's,com.technologies33.appsays,"A fun application which makes you smile with its out of context yet hilarious replies. 

How often do we think to lovingly abuse our friends and want to think of that unique humorous thing to say to them.  

App says ""I can help."" 

App Says is a mix of some hilarious replies to your questions, search for some crude humor with a mix of some innovative emoticons and some sound bites which you would love to play repeatedly. 
 
App Says also lets you add your own words and its meaning to its collection of notorious words and share it with other App Says users. 

Download it, have fun and Cheers !!!",,
Cute Red Fox FoxMoji Sticker,com.hao.Cute-Red-Fox-FoxMoji-Sticker,"Do you want to impress your friends? Now you can enhance your iMessages with Cute Red Fox FoxMoji Sticker.
Make your conversations cuter with these stickers!

- Update regularly
- The cute sticker, so cool, make a difference for you
- BUY ONCE but FOREVER FUN
- Drag and Drop the stickers into your iMessages
- Layer stickers over each other in conversations in iMessages
- Scale and rotate the stickers by using  a second finger before you place it on the bubble",,
Say Cheesecake,com.paptap.pt208805,"Homemade decadent cheesecakes in over 50 flavors!  

Since 2012, I have been providing my customers with the most fresh and decadent cheesecake they have ever had!  My recipe is tried & true and loved by many!

With multiple sizes and an abundance of flavors, I can fulfill any order.  Whether you are buying my 2 Shooters or a large spread for a wedding, rest assured that you will receive a freshly made cheesecake and made with only the best ingredients.

When ordering please allow up to 24hrs to confirm your order.  All orders must be placed at least 48hrs in advance.  Everything is freshly made, just for you!

I appreciate each and every customer and you are why I continue to grow!  Thank you!",,
Rainbow Puke,com.mybox.tothetop,"::::: Rainbow Puke ::::::

Help Puky in this crazy game to avoid the clouds and get the potatoes by simply tapping anywhere in the screen to dodge them while puking rainbows all along! 

Features: achievements, leaderboards, social sharing, rainbows, glasses, and probably a cat somewhere ;)

... Voted the best casual experience of 2015 by the Rainbow Together Association ...

...... Winner of most funniest app on the Puke Olympics of 1986 ...

.... Reviewed as an awesome crazy casual game by the A Box per Cat Foundation...

WARNING: It may contain traces of POTATO and other tropical vegetables.",4.5,13
Johnny's web,com.johnnys-web.www,"ジャニーズアーティストの最新情報をお届け!Johnny's web公式アプリ登場!

アーティストの最新情報はもちろん、本人による日記などオリジナルコンテンツをお届けします!
アーティストの[PROFILE]や近況などがご覧頂けます。
またジャニーズファミリークラブによる動画(ショートバージョン)を配信中!!

様々なジャンルで活躍するアーティストの近況をお手元でお楽しみください!!

※iOS5.0 で起動に失敗する問題を修正しました。",4.5,26
"Image2Ascii - Convert picture to ASCII Art or Text Art with your favorite letters, Let's say I Love U :-)",com.Thinkrove.DIYemoji,"This app converts any images to ASCII Art under gray or color mode, with various resolution. You can set any favorite words to generate the text picture, such as ""I Love You Nicole"". Show your love now!

Features:
Take a photo from camera or album
You can define any words combination
Support gray and color mode
Support various resolution
Blur motion background and colorful skins",5.0,52
"""Say Beans!"" Photo Filters by BUSH’S®",com.bushbeans.saybeans,"Roll that beautiful bean footage! Add Jay and Duke to your favorite pictures with our fun photo filter app. It’s almost like they’re there with you!

** Features **

• Choose a picture from your photo roll or take a new one
• Add Jay, his dog Duke or both of them to your photo with our fun filters
• Share your favorites with friends and family
• Kid-friendly",5.0,7
Say it with Cute Animal,RAD.cuteAnimals,"Nothing says a good morning quite like a cute koala sticker!


• SEND dynamic and animated stickers in chat 
• PLACE stickers anywhere on your iMessages 
• CUSTOMIZE your photos with stickers in chat 
• LAYER stickers over each other, in chat, and on photos 
• SCALE & ROTATE stickers

www.emojimedia.eu
info@emojimedia.eu
Facebook : Emoji Media
Instagram : @emojimedia",,
Language Tutor - Pronunciation,Sestek.Pronunciation,"Practice English Pronunciation-Language Tutor
 
Language Tutor is a group of apps which has been developed to assist users to practice their English.
 
Language Tutor – Pronunciation is a handy app that tests and enhances your English pronunciation by using innovative tools. It automatically compares your pronunciation with an American English speaker and creates a score. When you collect enough stars, you level-up!
 
Listen how a native speaker pronounces a word
Repeat the word and record yourself
Get your score and compare your pronunciation
Retry to improve
Collect stars to level-up
 
Wait for the other Language Tutor apps to practice your English.",,
Becomme,eu.akstudio.Becomme,"Do you like a girl but you don’t know how to approach to her or what should you say next? Download Becomme and discover more about the 3000 pick – up lines and topics to talk about, cause if you don’t approach to a woman you can be 100% sure that you will never get her. You can also have the premium section for free, in exchange for commercials or you can subscribe for the premium content for 3.99 USD. 

- Becomme Premium 
– The length of the subscription is 30 days. With it, you can get access to the whole Premium section, which contains the 90days Challenge and Online section with articles for online dating and online pick-up lines.   
– Price of subscription is 3, 99 USD per month– Payment will be charged to iTunes Account at confirmation of purchase
– Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
– Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal
– Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
– Links to Your Privacy Policy and Terms of Use: http://becommeapp.com/privacy-policy/
– Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable",,
