Body,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Real customers dont lie. So far yelp is my go to when i dont know where to go,"[0.15000000000000002, 0.65]","[0.0, 1.0, 0.0]",2
Terrible. Fix it.,"[-1.0, 1.0]","[0.0, 0.392, 0.608]",1
Find everything you crave for,"[0.0, 0.0]","[0.0, 1.0, 0.0]",3
I love this app it's so convenient because I travel a lot and I can see everything that's near me when I'm not familiar with the area. Plus you can filter search so I can find only specific things near me. Love it.,"[0.14464285714285713, 0.5178571428571429]","[0.189, 0.811, 0.0]",3
"Love yelp,  not only is it a good resource to get the inside scoop on a place before you go, you can also get deals and free stuff by checking in to places. Plus most businesses once they find out that you will be reviewing will treat you like a king/queen and really work for those five stars!","[0.39166666666666666, 0.6166666666666667]","[0.263, 0.737, 0.0]",1
This app has helped me find many good restaurants!,"[0.6875, 0.55]","[0.285, 0.715, 0.0]",3
Login issues,"[0.0, 0.0]","[0.0, 1.0, 0.0]",2
Great for discovering hidden gems in new places.,"[0.2565656565656566, 0.5126262626262627]","[0.369, 0.631, 0.0]",3
Fast,"[0.2, 0.6]","[0.0, 1.0, 0.0]",2
"My new addiction for reviewing services! App works great.  Very user friendly,  and it saves your review if you accidently x out.","[0.38636363636363635, 0.5011363636363637]","[0.293, 0.707, 0.0]",2
I tried 5 times to reset my password. They say they are going to send you an email to do it. They send you no link. No way to do it. Then you can't contact them at all. Waste of time it sucks,"[-0.25, 0.15]","[0.0, 0.792, 0.208]",1
"Loveland tire and service is the best place in town I have been going to Jon for many years, he is honest, reliable and will have you car fixed right the first time. Thanks guys for all you do.","[0.41938775510204085, 0.42414965986394565]","[0.229, 0.771, 0.0]",4
It's a great app for exploring good eateries in new locations!,"[0.5568181818181818, 0.6015151515151516]","[0.477, 0.523, 0.0]",4
"This is our 2nd time eating there. The mood, atmosphere \u0026amp; service is excellent. The Mussels and Pizza Margherita were tasty but 3 of the main courses were average. The salmon dish was to die for. A must for those that dine occasionally but for those frequent diners, this may be a once every 3 month place.","[0.18611111111111114, 0.3597222222222222]","[0.04, 0.869, 0.091]",2
Nan y'a rien a dire c'est super pratique,"[0.3333333333333333, 0.6666666666666666]","[0.328, 0.42, 0.252]",1
Great suggestions,"[0.8, 0.75]","[0.804, 0.196, 0.0]",3
Best service,"[1.0, 0.3]","[0.808, 0.192, 0.0]",3
Don't even choose a doc Wo Yelp!  Yelp matters.,"[0.0, 0.0]","[0.166, 0.834, 0.0]",1
I've been enjoying this app for years! It's one of the greatest tools no matter what city you're in,"[0.8125, 0.8]","[0.343, 0.573, 0.084]",3
