Name,Package Name,Description,Rating,Rating Count
GarageBand,com.apple.mobilegarageband,"GarageBand turns your iPad, and iPhone into a collection of Touch Instruments and a full-featured recording studio — so you can make music anywhere you go. And with Live Loops, it makes it easy for anyone to have fun creating music like a DJ. Use Multi-Touch gestures to play keyboards, guitars, and create beats that make you sound like a pro — even if you’ve never played a note before. Plug in a guitar or bass and play through classic amps and stompbox effects. Use a Touch Instrument, microphone, or a guitar and instantly record a performance with support for up of 32 tracks. Use the new Sound Library to download additional free instruments, loops and sound packs. Audio Unit Extensions in iOS 11 allow you to play, record and mix third-party instruments or effects right into GarageBand. And then share your song with friends and family.

Live Loops. Make music like a DJ
• Use Multi-Touch to tap and trigger a Live Loop cell or group of cells
• Get started with templates or build your own grid from scratch with Apple Loops
• Create custom loops by recording directly into a cell using any Touch Instrument
• Use Remix FX to perform DJ-style effects
• Tap record and capture your performance

Play your iPad, and iPhone, like a musical instrument
• Play a variety of musical instruments on the innovative Multi-Touch keyboard
• Play and record using the Alchemy synth*
• Build grooves inspired by classic electronic drum machines with the Beat Sequencer
• Download free instruments, loops and sound packs for GarageBand with the Sound Library
• Capture any sound and apply studio-class effects
• Recreate legendary guitar or bass rigs using virtual amps & stompboxes
• Use 3D Touch to play keyboard sounds with polyphonic aftertouch**
• Record performances from third-party music apps directly into GarageBand using Audio Unit Extensions***

Drummer for iOS
• Add virtual session drummers to your song who take direction and play realistic grooves
• Choose from acoustic, electronic drummers and percussionists****
• Each character provides their own sound and the ability to create over a million realistic grooves and fills

Sound like a virtuoso with Smart Instruments
• Play an entire string orchestra using Smart Strings 
• Perform with Chord Strips and autoplay using any keyboard instrument
• Groove with a variety of Smart Basses using upright, electric, and synth sounds
• Strum chords or trigger autoplay patterns on an acoustic and electric Smart Guitar

Create a song anywhere you go
• Record, arrange and mix your song with up to 32 tracks using Touch Instruments, audio recordings, and loops*****
• Record multiple times over any song section and choose your favorite using Multi-Take Recording 
• Use professional mixing effects, including Visual EQ, Bitcrusher, and Overdrive
• Recording, mixing and exporting a song can be done at 24-bit audio resolution
• Trim and place musical regions exactly where you want them to play
• Automate the volume and record the movement of controls on Touch Instruments
• Add comments or lyric ideas to your song with an integrated notepad

Share your songs
• Keep your songs up to date across all devices using iCloud Drive
• Create custom ringtones and alerts for your iPad, iPhone, or iPod touch
• Share your songs using email or Facebook, YouTube, and SoundCloud******
• Remotely add new tracks to your Logic Pro X project from your iPhone or iPad via iCloud

* The Alchemy synth is available on iPhone 6 or later, iPad Pro, iPad (5th generation), iPad Air 2, and iPad mini 4.
** Polyphonic aftertouch is available on iPhone 6s or later.
*** Requires compatible third-party Audio Unit Extensions apps from the App Store.
**** Requires free download from GarageBand Sound Library.
***** Multitrack recording requires a compatible third-party audio interface.
****** Sharing to Facebook and YouTube requires iMovie.",4.0,39844
Great Sand Dunes National Monument GPS Map,com.flytomap.PMGSandPark,"Flytomap is a valid and interesting alternative, Benetti Yachts
Top Ten 2011,2012,2013,2014,2015 & 2016
Featured in : On the Deck 
Great Sand Dunes coverage resident in the app. It works WITHOUT mobile coverage! 
Worldwide Marine and Outdoor Maps available when connected, thanks to viewer.flytomap.com
Worldwide Satellite images overlay on charts 
Worldwide Terrain features overlay on charts, thanks to Open Street Map, Open Cycle Map, Bing,Earth,GMap
Worldwide Weather forecast
Use to Explore: 
√ Latitudes and Longitudes to go to your favorite places 
√ Search your Favorite points directly 
√ Zoom, Rotate and Pan fast just by a finger touch 
√ Quick Object information just tapping, thanks to vector technology 
√ GPS Heading Vector Towards the direction movement 
√ Distance Measurement Tool to easily calculate the distance from one location to another 
√ Route planning, Waypoints - Insert the target/destination and see in real time your speed, distance and bearing 
√ Magnified Lens for all info 
√ Unlimited Tracks, Markers, Geo-tagged photos, records and share via email, visible on Google, Flytomap Viewer, KMZ format - Store your track without the need of cellular data or mobile signal 
√ Select Depth Contours
√ a la carte menu
√ iOS background mode - Flytomap works in background as well, you can swap with another app and receive/make calls send sms while track recording.
√ Optimized battery usage

√ Worldwide Marine Weather forecast at a quick tap provide you:
• Day max and min temperature - Current temperature 
• Significant wave height, Swell height, Swell period, Swell direction
• Tide data
• Sea temperature
• Wind Speed and direction
• Weather description
• Precipitation & Humidity
• Visibility
• Pressure
• Cloud cover in percentage
• Wind chill/Feels like Temperature
• Water Temperature
• Dew Point Temperature 
• Heat Index Temperature

√ And so much more to come - It’s the only app you will ever need! Our charts are installed on: GARMIN NAVICO LOWRANCE B&G NORTHSTAR EAGLE SIMRAD

Follow us:

▶Twitter        @flytomap

▶Web Site      flytomap.com
 
▶Web App      viewer.flytomap.com

▶Facebook     facebook.com/flytomap


Flytomap is committed to constant improvement, this App is developed with the help of professional boaters to get the best experience on the sea, we listen to our users and systematically add the most requested features. 
Thank you for the feedback!
""Continued use of GPS running in the background can dramatically decrease battery life.""",4.0,25
Great Sand Dunes-National Park,Com.Shanigarapu.GreatSand,"◆Universal App for iPhone X/ iPhone 8/ iPhone 8Plus/ iPhone 7/ iPhone 7Plus/ iPhone SE/ iPhone 6s/ iPhone 6s Plus/ iPhone 6/ iPhone 6 Plus/ iPhone 5/ iPhone/ iPad/ iPad Pro/ iPod.

*****Great Sand Dunes National Park***

• CAMPGROUNDS & TRAILS
• HOTELS
•THINGS TO DO
•ONLINE MAP SUPPORT.
•ADDRESS,ELEVATIONS,DISTANCE FEET,DISTANCE ARREA,
• FIND LIVE DIRECTIONS FROM YOUR GPS POINT TO ANY DESTINATION.
• POI SEARCH CURRENT LOCATIONS
• LOCATION AND ADDRESS FINDER OF ANY MAP POINT.
• GPS LOCATOR
•IMG GALLERY HIGH RESULUATIONS IMAGES",,
Great Sand Dunes by Chimani,com.chimani.greatsanddunes,"The Great Sand Dunes National Park app by Chimani boasts rich, detailed information on the tallest dunes in North America, the centerpiece in a diverse landscape of grasslands, wetlands, conifer and aspen forests, alpine lakes, and tundra in Colorado, including:

• expert-written details on the park's unique points of interest (POIs)
• GPS-enabled maps that work without a cell/wifi connection and can be custom edited and annotated
• calendar of Ranger-led events 
• sunrise/sunsets times and top viewing locations
• photo gallery loaded with stunning park images
• detailed descriptions of the park's many hiking trails
• information on dining, lodging, restrooms, picnicking, in-park transportation, bicycling, and other in-park activities
• ""Where Am I?"" locator function for the entire park (note: does not work on non-GPS enabled devices)

Other features include:
• Easy-to-use interface with menus based on universal national park symbols.
• Push notifications for park-related news, alerts, and events. 
• Lightning-fast search engine to quickly find information.
• Tag your favorite park sights.
• Collect points and earn badges for visiting parks and points of interest.

For more details on this and other Chimani apps for the national parks, visit www.chimani.com. Be sure to follow us on Twitter at @chimani, Facebook at www.facebook.com/chimani, and Instagram at @chimani

*** This app requires an initial Internet connection to download photos (either Wifi or cellular). ***",,
Rock Challenge Electric Guitar,pl.netigen.guitargame,"- Great songs recorded by proffesional musicians
- World map, unlock levels all over the world
- Beat other users, be the best

Rock Challenge is a great guitar hero type game. Play the electric guitar by hitting the notes at the right time. Get the highest score, gain perfect badge and beat other users!

Rock Challenge: Electric Guitar Game will test your skills to play the guitar and follow the rhythm of the music. This game including many songs which you can play them in 3 different difficulty levels. Playing, you compete with real players from around the globe!

You start your career in Europe. If you are good enough you will try to play in other continents. Unclock all levels and play the final concert in the USA. Turn yourself into a music superstar!

Features:
- Addictive gameplay
- Global scores
- Great sound quality
- Many different music styles
- 3 difficulty levels
- High quality graphics
- Free
- Achievements

Please note!
Rock Challenge: Electric Guitar Game is completely for free to play. That’s the reason why it has adverds. If you don’t like them, you can turn off them by buying a micropayment.

Good luck and have a lot of fun with this awesome game! Be a rock and roll hero!

Write to us if you have any questions: mobile@netigen.pl",4.5,7
Viral Social Media Tools,com.ianvink.facts,"Get cool facts every day. Great to tweet, email and share from the app. Search the facts, Randomize the facts, Marvel at the facts. Great way to keep yourself busy.

Tools:
====
* Add your own photos
* View other's photos
* Add Notes
* Facebook
* Search
* Randomize
* Quick Filter
* Twitter
* Email
* Print
* Dictionary",,
Archivist Live Music - stream great band concerts,com.philkast.archivist,"Instantly listen to 75,000 live concerts! Reviewers say: ""worth every penny,"" ""best app purchase all year for me"", ""the best thing since sliced bread.""

- Discover new music from more than 3,500 artists
- More than 75,000 concerts 
- Automatically suggests bands you listen to
- Read concert reviews
- Supports multitasking on iOS 4: listen in the background
- Rewind, fast forward, and seek through songs
- Shuffle and repeat
- Display cover art when available
- AirPlay support - play music through your Apple TV or Airport Express

Archivist makes it easy to listen to live concert recordings from the Live Music Archive (http://www.archive.org/details/etree). 

It searches your music library to suggest artists you like with shows available. Install it and you'll be streaming a concert from one of your favorite bands in seconds!

Search or browse through more than 3,500 artists in the music archive's collection, including great musicians like Jack Johnson, Ryan Adams, Matisyahu, John Mayer and Elliott Smith, as well as favorites like the Grateful Dead, Umphries McGee, The Disco Biscuits, The Smashing Pumpkins, moe. and so many more.",4.5,601
Pass Time: Color Node - A Great Time Killer Game to Relieve Stress (no ads),co.justforward.colornodepaid,"Follow color pattern to cross multi colored obstacle in this paced action game! Color Node is a challenging action game that is fun for all ages. The objective of Color Node is quite simple; you need to get the ball from one end of the action to the other. However, it can’t be that easy, and it isn’t. Swipe the ball to meet the relevant color and avoid the obstacles. Beat the high score!",,
Great Sand Dunes National Park,com.nag.GreatSandDunes,"* Universal compact app for iPhone 6 / iPhone 6 Plus / iPhone 5 / iPhone / iPod / iPad

GREAT SAND DUNES NATIONAL PARK with attractions, museums, restaurants, bars, hotels, theaters and shops with TRAVELER REVIEWS and RATINGS, pictures, rich travel info, prices and opening hours. 

OFFLINE MAP & LOCATION-BASED NAVIGATION - Have the guide locate you on the map and show you the best route to each destination by subway or foot. 

Discover what's on and places to visit in Great Sand Dunes National Park with our new cool app. Your guide to top attractions, shopping malls / locations, finding hotels, directions to hotels & Bars, Restaurants. An all-in-one app for all the local attractions. 

Our travel guide to Great Sand Dunes National Park, featuring up-to-date information on attractions, hotels, restaurants, shopping, nightlife, travel tips and more. 

Highlights : 

◆ Great Sand Dunes National Park Info - Overview, Climate, Geography, History and Travel Information. 

◆ Attractions - Ancient Sites, Beaches, Botanical Gardens, Coffee Farms, Museums, Scenic Drives, Towns, Waterfalls, Religious and Historical Sites Etc. 

◆ Hotels - From Luxury Hotels to Budget Accommodations. Reviews, Price comparison, Gallery, Map, Search, Amenities, Address and more.

◆ Restaurants - An insider's guide to the best places to eat in Great Sand Dunes National Park, including fine dining restaurants, tapas bars and top spots for lunch, search by cuisine, price, location, and more.

◆ Map - It is an interactive map and get turn by turn driving directions. Find traffic details, road conditions, street maps, Multi map, satellite photos, and aerial maps. Allow you to easily search and find local businesses with directions. 

◆ Gallery - Picture galleries of Great Sand Dunes National Park's most beautiful sights, interesting events, unusual occasions and more.

◆ POI Search - Search everything at Great Sand Dunes National Park. 

Airport, ATM, Bank, Bars, Beauty Salon, Bus Station, Cafe, Campground, Car Wash, Department Store, Doctor, Fire Station, Food, Gas Station, Hospital, Library,Lodging, Mosque, Movies, Museum, Park, Parking, Pharmacy, Pizza, Police, Shopping, Stadium, Taxi, Train Station, Travel Agency, University, Zoo. 

or 

Enter any keyword or name to search 

Find Name, address, distance, route map, call, directions to every business location. Sharing option available. 

◆ Translator - Supports 52 languages, Large text Translation. 

◆ World Clock - All major cities of the world (1000 Cities).",,
Great Sand Dunes National Park Travel Guide,com.VictoryStar.GreatSandDunes,"* Universal compact app for iPhone 6 / iPhone 6 Plus / iPhone 5 / iPhone / iPod / iPad

Great Sand Dunes National Park with attractions, museums, restaurants, bars, hotels, theaters and shops with TRAVELER REVIEWS and RATINGS, pictures, rich travel info, prices and opening hours. 

OFFLINE MAP & LOCATION-BASED NAVIGATION - Have the guide locate you on the map and show you the best route to each destination by subway or foot. 

Discover what's on and places to visit in Great Sand Dunes National Park with our new cool app. Your guide to top attractions, shopping malls / locations, finding hotels, directions to hotels & Bars, Restaurants. An all-in-one app for all the local attractions. 

Our travel guide to Great Sand Dunes National Park, featuring up-to-date information on attractions, hotels, restaurants, shopping, nightlife, travel tips and more. 

Highlights : 

◆ Great Sand Dunes National Park Info - Overview, Climate, Geography, History and Travel Information. 

◆ Attractions - Ancient Sites, Beaches, Botanical Gardens, Coffee Farms, Museums, Scenic Drives, Towns, Waterfalls, Religious and Historical Sites Etc. 

◆ Hotels - From Luxury Hotels to Budget Accommodations. Reviews, Price comparison, Gallery, Map, Search, Amenities, Address and more.

◆ Restaurants - An insider's guide to the best places to eat in Great Sand Dunes National Park, including fine dining restaurants, tapas bars and top spots for lunch, search by cuisine, price, location, and more.

◆ Map - It is an interactive map and get turn by turn driving directions. Find traffic details, road conditions, street maps, Multi map, satellite photos, and aerial maps. Allow you to easily search and find local businesses with directions. 

◆ Gallery - Picture galleries of Great Sand Dunes National Park's most beautiful sights, interesting events, unusual occasions and more.

◆ POI Search - Search everything at Great Sand Dunes National Park. 

Airport, ATM, Bank, Bars, Beauty Salon, Bus Station, Cafe, Campground, Car Wash, Department Store, Doctor, Fire Station, Food, Gas Station, Hospital, Library,Lodging, Mosque, Movies, Museum, Park, Parking, Pharmacy, Pizza, Police, Shopping, Stadium, Taxi, Train Station, Travel Agency, University, Zoo. 

or 

Enter any keyword or name to search 

Find Name, address, distance, route map, call, directions to every business location. Sharing option available. 

◆ Translator - Supports 52 languages, Large text Translation. 

◆ World Clock - All major cities of the world (1000 Cities).",,
