Name,Package Name,Description,Rating,Rating Count
Sally's Salon - Beauty Secrets,com.gamehouse.ss1,"Looking for a new hairdo? Want to get your nails done? Need some special make up? There's no better place in Snuggford than Sally’s Salon! 

Everyone’s favorite beautician Sally returns, on a mission to beautify women across the globe - all while searching for her long lost love! Ready to join her (and her new side-kick François!) on this hilarious journey? 

- BECOME AN AMAZING BEAUTICIAN and go on a hair-raising adventure like never before
- PLAY 60 TIME MANAGEMENT LEVELS, and 18 extra bonus levels, as you run unique salons across 6 exotic chapters
- HELP SALLY PERFORM BEAUTY TREATMENTS as you search for the famous singer, Julio, Sally's long lost love
- DISCOVER 12 MINI-GAMES and improve your beautician skills as you cut hair, apply face masks and match make up
- MEET SALLY'S SIDEKICK FRANCOIS - hilarious, clumsy, and a familiar face from the Delicious Emily hit series
- IMPROVE YOUR SALONS and reward yourself with special upgrades and products
- ENJOY MANY GUEST APPEARANCES from stars of the other GameHouse Original Stories
- COLLECT ALL THE TROPHIES to discover special beauty items, and earn all the diamonds to reveal Sally's memories of Julio

Guess who's back!? 

Business is booming, and Sally and her new side-kick François are making the town a little more beautiful, one treatment at a time. At least, they were - until some breaking news left Sally bursting with excitement!

Turns out her favorite singer and long-time crush Julio  will be performing his farewell concert near Snuggford! As one of his biggest fans, Sally couldn't be more thrilled. But there's more. What nobody knows is that Julio and Sally had a summer romance 20 years ago!

Just when Sally's convinced they’ll be able to rekindle their romance... Disaster strikes! Julio's plane goes missing on its way to the concert. Determined to find him, Sally and François set off on an incredible search!

Will Sally find her long lost love? Fix your hair up pretty, put some make up on, pack your nicest dress, and get ready to find out in this hair-curling time management adventure! 

Play the game for free for 5 levels. Then choose to unlock the full game with an in-app purchase, or continue to play the free version with ads.

Follow Sally and François on Facebook:
Sally: https://www.facebook.com/SallysSalonGames/
François: https://www.facebook.com/AskFrancois/

Enjoy more GameHouse Original Stories, and try our other games:
Heart's Medicine - Hospital Heat
Heart's Medicine - Time to Heal
Delicious - Emily's Message in a Bottle
Delicious - Emily's Hopes and Fears
Fabulous - Angela's High School Reunion
Fabulous - Angela's Fashion Fever
Dr. Cares - Pet Rescue 911
Mary le Chef - Cooking Passion",5.0,5430
Queen's Garden 4:Sakura Season,com.sevensails.queensgarden4sakuraseason,"It's Sakura Season in Japan and the Queen decided to celebrate!

Help Queen Ayame and the loyal minister Haruo decorate this exotic Japanese garden in this unique match-3 game! Play over 119 levels, collect coins and special jewels, purchase plants and decorations to design the most beautiful garden in Japan!

120 challenging Match-3 levels
Fully customizable garden
Bonus Mini-games
Visit animals in your garden

PLAY THE WHOLE GAME for FREE! SUPPORT the DEVELOPERS by WATCHING ADS or BUYING the IN-APP to REMOVE THEM FOREVER",,
Touchdown Hero: New Season,com.cherrypickgames.touchdownhero2,"NEW SEASON 2016 is finally here!

From the creators of the widely acclaimed Touchdown Hero comes the official sequel for the 2016 season! 

Enjoy TOUCHDOWN HERO: NEW SEASON now in English, Spanish, Brazilian Portuguese and French! 

◉  Return to the field to outmanoeuvre the defenders! Use your SPEED and STRENGTH to wow the crowd!
◉  Decide when you want to RAM, SPIN or FAKE to breakthrough towards the TOUCHDOWN ZONE!
◉  CUSTOMIZE your player from head to toes and show what you’re made of!
◉  Score TOUCHDOWN after TOUCHDOWN to beat high-scores and climb the ranks!

TOUCHDOWN HERO: NEW SEASON is even bigger, better and more fun!",4.5,810
Stylist Girl: Make Me Gorgeous,com.cocoplay.stylistgirl,"~~> You’re the hottest new fashion stylist in Hollywood, and your awesome reputation is already bringing you fame and fortune! 
~~> Work with famous fashion models and VIP celebrities. Bring out their star style!
~~> Create tons of incredible looks for your clients - find them the perfect outfits for their big events!

Welcome to Hollywood - the land of VIPs, where fashion rules and all the celebrities and famous models need to look amazing to keep up their star status! That’s where you come in - you're the stylist to the stars! Everyone’s talking about the hot looks you created at the latest red carpet event, and now you’re clients are piling in! 

Features:
> Open up your very own Hollywood stylist office and become famous!
> Style and dress up your VIP clients (supermodels, famous movie stars and more!) in glamorous outfits!
> From magazine cover shoots to red carpet movie premieres, it’s your job to make your clients wow the crowds!
> Find fabulous clothes for your models from the trendiest stores - Chick Shack, Party Fever and Stardust, and add perfect accessories to complete their outfits!
> Help your clients get the prettiest makeovers the world has ever seen!
> Make sure their nails are perfect - add cool stickers and nail jewels, and complement their manicures with rings and bracelets! 
> To make it in show business, stunning hair is key! Get your celebrity models killer new hairstyles!
> Reach #1 in the Top Stylist charts, gain followers and likes!
> Help your models win lots of fashion catwalk and photoshoot contests!
> Play fun fashion and stylist minigames! 
> Collect coins as you style!


About Coco Play
Coco Play Limited is China-based developer of creative and unique apps for kids. Founded in 2013, Coco Play provides rich 3D simulation-based games for the whole family. Coco Play is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@Tabtale
Watch us: http://www.youtube.com/iTabtale

 CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.
 

FOR PARENTS 
The app is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on this device. The app may include advertising for TabTale and certain third parties which will redirect users to our sites, apps or third-party sites.
Your privacy matters. The app may enable collection of limited user data by TabTale or its carefully selected providers (e.g. ad networks and analytics) for limited purposes described in our Privacy Policy (e.g. respond to support queries; enable, analyze and improve the app’s features and services; serve contextual ads and measure their performance). The app includes certain features only accessible behind an age-gate to protect children (e.g. restrict behavioral ads; social networks links to connect with others while playing; option to accept push notifications to inform of exciting news e.g. updates). For more information (notably on the providers), please read our Privacy Policy: https://tabtale.com/privacy-policy/. By downloading, updating or using the app you consent (in your personal capacity and for other users of your device) to this collection and use of limited device information for ad display and reporting purposes, and to our Terms of Use: https://tabtale.com/terms-of-use/.",4.5,1778
Make Free Holiday and Season Greeting Card.s,mvuksanovic87.greetingcards.MakeFreeHolidaySeasonGreetingCards,"Would you like to surprise people you love and care about? If your answer is affirmative, then it is the right time to grab “Make Free Holiday and Season Greeting Card.s” and enjoy having the best greeting card app at your disposal! Now is the perfect time to personalize your greeting cards! We offer you a breathtaking app! Make every picture of yours look awesome! Decorate pics the way you like! It is the perfect time to wake up an artist within yourself with this free astonishing app!

- High-quality eCards to choose from!
- Personalize designs with your own words and thoughts!
- Choose the font and the color of the letters!
- Share your card instantly via messaging, facebook, e-mail, twitter, or save it to your camera roll to send it via even more third party services.
- Enjoy surprising someone you love! 
- Be creative and impress your loved ones by sending a fun greeting card in just a few simple taps and steps!

Be unique and wish your friends and family members happy holidays! Not all people on Earth celebrate the same holidays! Some of them celebrate Kwanzaa, Hanukkah and the Winter solstice. Other people, though, celebrate Christmas Day, Boxing Day, New Year, Epiphany or Chinese New Year. If you want to send them a greeting card with some cute message, this app will certainly be helpful! Make Free Holiday and Season Greeting Cards is perfect e card app not only for kids but also for adults! All of you who like writing holiday greetings, you can take your turn! Don't miss a real source of entertainment! Pick a card among a great variety of beautiful pictures and write a text! Wish a happy holiday to your family, friends or relatives with the most original free images and breathtaking ecards! If it is Kwanzaa, Hanukkah or Chinese New Year and you are wondering what to gift your friends that live abroad, send a picture card and prepare for the surprise! Just think of what you would like to write, pick up the font and the color of the letters and the surprise will be completed in a short period of time with free cards for everyone!",,
The Walking Dead No Man's Land,com.nextgames.twd,"Join Rick, Daryl, Michonne and other iconic characters from AMC’s The Walking Dead in the official mobile game of the show. Do you have what it takes to survive the zombie apocalypse of TWD: No Man’s Land?

The Walking Dead: No Man’s Land is a thrilling, action-packed RPG where tactical choices make the difference between life and death. Only the strongest will survive so choose your team wisely: bring Michonne and dominate in close-quarter combat or send Rick to dispatch enemies from afar. Or perhaps you’ll choose to snipe from a distance with Daryl’s crossbow, or mow the herd down with Abraham’s assault rifle.

• FIGHT through hordes of deadly enemies in tactical turn-based combat
• COLLECT and upgrade your favorite characters from AMC’s The Walking Dead
• CHOOSE the right team and the equipment for each mission
• HUNT walkers in Terminus, The Prison and other familiar locations from AMC’s The Walking Dead
• JOIN other players in deadly weekly challenges and PVP combat for exclusive rewards

“Throw in some pretty swish graphics, lovely animations and blood splatters, and you have one of the most carefully fleshed out zombie games we've seen on mobile. It looks lovely, and plays great too.” - Pocketgamer

“Each aspect of survival on AMC's The Walking Dead has been parallel to the series' official mobile game, subtitled No Man's Land.” - Mashable

“Imagine your favorite mobile base-building strategy game, mix in a dash of XCOM, and then paint on a fresh coat of AMC’s The Walking Dead. That’s No Man’s Land in a nutshell.” - Gamezebo

For more, please visit:

http://www.facebook.com/thewalkingdeadnomansland
http://twitter.com/twdnomansland
http://www.thewalkingdeadnomansland.com
http://www.youtube.com/nxtgms

For player support, please visit:
nextgames.helpshift.com",4.5,33358
Season's Greetings,com.maj9.christmasmessages,"Find just the right words, perfect phrases to personalize your Thanksgiving, Hanukkah, Christmas and New Year greeting cards. Never run out of words again.

Features:

- Allows to bookmark your favorite messages
- Have fun to email/texting (sms) messages to your friends/family
- Allows you to copy selected messages to clipboard.
- Built-in Free-App-A-Day feature: it will let you download free over 10 premium paid apps just become Free each day.",,
Super Santa's,com.zoomtic.ssss,"use it all over your iMessage chats
 
You’ll have all you need, NO additional pay, NO in-app purchase!
Easy to use! Tap the sticker you want, DRAG & DROP the sticker into your message
All images have been optimized for Retina display and to perfectly fit into your iMessage bubbles.

HOW TO USE:
- TAP a sticker to add it to your message thread.
- PEEL & PLACE stickers on top of message.
- LAYER stickers over each other in conversations in iMessage.
- SCALE & ROTATE stickers by using a second finger before you place it on the bubble.

Share your moods with different sticker in your chats !

Contact - zoomticgames@gmail.com",,
Queen's Garden 4 (Full),com.sevensails.queensgarden4sakuraseasonfull,"It's Sakura Season in Japan and the Queen decided to celebrate!

Help Queen Ayame and the loyal minister Haruo decorate this exotic Japanese garden in this unique match-3 game! Play over 119 levels, collect coins and special jewels, purchase plants and decorations to design the most beautiful garden in Japan!

120 challenging Match-3 levels
Fully customizable garden
Bonus Mini-games
Visit animals in your garden

- THIS IS THE COMPLETE VERSION WITHOUT ADS or IN-APP PURCHASES",,
"Relax Melodies Seasons Premium: Mix Rain, Thunderstorm, Ocean Waves and Nature Ambient Sounds for Sleep, Relaxation & Meditation",com.ipnossoft.irelaxseasons,"The ultimate relaxing app for a stressless year no matter the season. 
Forget the stress, overcome your body tension and free up your mind by falling into a peaceful relaxation that you surely deserve!

Relax Melodies Seasons helps you to easily combine ambient sounds and relaxing melodies (from all four seasons) to create your own and personal relaxing session. Let your mind travel to any season of the year to enjoy back the feeling of a warm day at the beach, a calm spring morning, a peaceful october rain or even a cold winter day! Possibilities are endless as you start mixing!

An extra 12 Christmas melodies are also included to put you in the mood for the Holidays!

== Features == 

• 48 High quality ambient sounds. A dozen for each season of the year!
• 12 additional ambient sounds SPECIAL CHRISTMAS.
• 6 Binaural beats frequencies for brainwave entrainment
• Play your mix in the background while using your other apps!
• Enjoy almost infinite possibilities by mixing your favourite sounds together at customizable volumes.
• Include 5 off the shelf favourites for easy startup.
• Create, Name, Save, Sort and Replay your mixes by adding them to your Favorites list.
• Clock Display with brightness adjustment.
• Multiple Alarms & Timers system. Use your favorite mixes as an alarm to wake up in the mood you want!

== 48 Ambient Sounds ==

Blizzard, Hail, Small Bells, Church Bells, Winter Sanctuary, Traffic in Snow, XC Skiing, Heater, Train, Fireplace, Hockey Arena, Winter Wind
Aurora, Frogs, Mountain River, Spring Birds, Horse Wagon, Seashore, Farm, Melting River, The Grove, Flag, Mother Nature, Wind Fields
Camping Rain, Dreams, Sprinkler, Crickets, Family at the Beach, Tropical Island, Desk Fan, Jet Boat, Underwater, Downtown, Lawnmower, Whales
Autumn, Forest Night, Water Drip, Rain Fall, New Beginning, Wind in Leaves, Fine Rain, Thunderstorm, Wood Chimes, Steps on Leaves, Water Dock, Wipers

== 12 Christmas Ambient Sounds ==

Carol of the Bells, Jingle Bells, Christmas Day, Merry Christmas, Christmas Story, Music Box, Deck the Halls, O Christmas Tree, Green Sleeves, O Come All Ye Faithful, Silent Night, Hark! The Herald Angels Sing

== 6 Binaural Beats ==

Dreamless Sleep - 2.5Hz, Dreams - 4Hz, Deep Meditation - 5Hz, Concentration - 20Hz, Pre-Sleep - 8Hz, Relaxation - 10Hz

Download it now and get the most personalized relaxation experience ever. With only a few taps create the perfect relaxing ambience that will resonates perfectly with you.
Use ambient sounds and binaural beats to either simply relax or help your brain fall asleep. Enjoy the seasons of the year at anytime on any day!

Try it today and reclaim your sleep.

Ipnos - http://www.ipnos.com
Online - http://www.relaxmelodies.com
Facebook - https://www.facebook.com/relaxmelodies
Twitter - https://twitter.com/relaxmelodies",5.0,1738
